Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
Qual o resultado de 23 x 5?;120;129;119;115;D
Qual o resultado de 19 x 12?;229;228;224;238;B
Qual o resultado de 20 x 14?;265;291;267;280;D
Qual o resultado de 27 x 10?;270;280;256;257;A
Qual o resultado de 38 x 8?;308;297;304;312;C
Qual o resultado de 27 x 12?;337;313;328;324;D
Qual o resultado de 11 x 8?;86;91;88;80;C
Qual o resultado de 13 x 13?;162;169;160;161;B
Qual o resultado de 27 x 3?;69;81;75;74;B
Qual o resultado de 35 x 7?;240;232;234;245;D
Qual o resultado de 21 x 8?;168;164;157;182;A
Qual o resultado de 35 x 15?;523;514;525;522;C
Qual o resultado de 38 x 11?;428;418;432;416;B
Qual o resultado de 36 x 13?;460;468;453;467;B
Qual o resultado de 38 x 10?;365;377;380;393;C
Qual o resultado de 40 x 14?;566;565;560;568;C
Qual o resultado de 39 x 12?;467;473;468;457;C
Qual o resultado de 40 x 15?;586;609;598;600;D
Qual o resultado de 12 x 7?;92;75;88;84;D
Qual o resultado de 18 x 13?;229;246;234;235;C
Qual o resultado de 30 x 6?;176;170;180;167;C
Qual o resultado de 11 x 8?;99;87;83;88;D
Qual o resultado de 20 x 12?;246;240;235;227;B
Qual o resultado de 16 x 13?;204;212;208;221;C
Qual o resultado de 16 x 10?;160;156;157;165;A
Qual o resultado de 15 x 10?;150;160;138;136;A
Qual o resultado de 11 x 8?;96;88;99;102;B
Qual o resultado de 34 x 3?;93;103;102;92;C
Qual o resultado de 26 x 11?;286;274;299;300;A
Qual o resultado de 40 x 4?;174;167;160;162;C
Qual o resultado de 11 x 14?;168;154;139;158;B
Qual o resultado de 37 x 6?;225;222;221;236;B
Qual o resultado de 24 x 4?;91;88;96;99;C
Qual o resultado de 27 x 3?;81;72;78;88;A
Qual o resultado de 35 x 3?;92;90;105;98;C
Qual o resultado de 40 x 14?;560;562;549;572;A
Qual o resultado de 27 x 14?;378;381;367;388;A
Qual o resultado de 25 x 4?;99;98;100;103;C
Qual o resultado de 14 x 9?;126;120;128;133;A
Qual o resultado de 29 x 13?;377;374;370;371;A
Qual o resultado de 16 x 14?;219;224;226;234;B
Qual o resultado de 34 x 12?;415;408;409;422;B
Qual o resultado de 20 x 10?;207;199;195;200;D
Qual o resultado de 20 x 7?;140;151;126;141;A
Qual o resultado de 18 x 8?;144;157;147;129;A
Qual o resultado de 21 x 5?;95;109;101;105;D
Qual o resultado de 36 x 14?;515;494;504;513;C
Qual o resultado de 20 x 10?;200;199;187;193;A
Qual o resultado de 39 x 10?;404;390;394;386;B
Qual o resultado de 38 x 3?;114;115;113;107;A
Qual o resultado de 13 x 7?;83;80;91;88;C
Qual o resultado de 15 x 8?;126;128;120;114;C
Qual o resultado de 38 x 9?;351;336;352;342;D
Qual o resultado de 34 x 8?;270;272;279;269;B
Qual o resultado de 16 x 4?;66;59;64;52;C
Qual o resultado de 13 x 11?;143;149;129;156;A
Qual o resultado de 27 x 12?;317;337;330;324;D
Qual o resultado de 21 x 5?;102;94;105;99;C
Qual o resultado de 18 x 6?;108;116;114;118;A
Qual o resultado de 29 x 15?;446;435;426;425;B
Qual o resultado de 17 x 10?;177;170;155;173;B
Qual o resultado de 24 x 5?;129;108;120;106;C
Qual o resultado de 15 x 8?;111;129;120;115;C
Qual o resultado de 23 x 6?;138;150;137;146;A
Qual o resultado de 26 x 7?;182;180;173;171;A
Qual o resultado de 34 x 10?;329;339;340;345;C
Qual o resultado de 25 x 6?;143;158;145;150;D
Qual o resultado de 15 x 15?;231;225;238;214;B
Qual o resultado de 13 x 13?;159;169;178;175;B
Qual o resultado de 21 x 8?;155;172;168;154;C
Qual o resultado de 22 x 7?;154;168;146;139;A
Qual o resultado de 31 x 3?;93;94;104;91;A
Qual o resultado de 35 x 9?;315;302;305;329;A
Qual o resultado de 11 x 8?;75;83;88;97;C
Qual o resultado de 21 x 11?;231;233;242;240;A
Qual o resultado de 11 x 10?;113;95;98;110;D
Qual o resultado de 33 x 8?;264;269;250;258;A
Qual o resultado de 28 x 15?;432;407;417;420;D
Qual o resultado de 18 x 5?;85;96;88;90;D
Qual o resultado de 26 x 13?;335;338;351;349;B
Qual o resultado de 34 x 6?;190;193;204;194;C
Qual o resultado de 29 x 10?;294;282;290;299;C
Qual o resultado de 12 x 14?;158;154;167;168;D
Qual o resultado de 16 x 15?;240;253;241;254;A
Qual o resultado de 38 x 5?;182;200;181;190;D
Qual o resultado de 12 x 13?;155;144;156;168;C
Qual o resultado de 14 x 11?;141;162;147;154;D
Qual o resultado de 39 x 12?;471;468;474;460;B
Qual o resultado de 19 x 4?;90;65;76;86;C
Qual o resultado de 30 x 8?;234;240;235;249;B
Qual o resultado de 26 x 9?;244;230;234;239;C
Qual o resultado de 14 x 4?;56;48;58;57;A
Qual o resultado de 18 x 10?;180;171;177;191;A
Qual o resultado de 36 x 8?;288;274;275;276;A
Qual o resultado de 12 x 7?;76;94;70;84;D
Qual o resultado de 23 x 9?;218;207;197;219;B
Qual o resultado de 17 x 13?;207;221;209;230;B
Qual o resultado de 21 x 3?;56;71;63;76;C
Qual o resultado de 18 x 8?;130;144;136;133;B
Qual o resultado de 39 x 11?;429;423;422;436;A
Qual o resultado de 26 x 14?;376;357;354;364;D
Qual o resultado de 27 x 5?;132;140;136;135;D
Qual o resultado de 36 x 10?;349;370;364;360;D
Qual o resultado de 31 x 15?;475;453;469;465;D
Qual o resultado de 16 x 14?;223;238;224;229;C
Qual o resultado de 39 x 8?;312;299;325;301;A
Qual o resultado de 20 x 8?;160;148;155;150;A
Qual o resultado de 16 x 5?;70;80;72;81;B
Qual o resultado de 39 x 9?;339;360;341;351;D
Qual o resultado de 36 x 15?;529;539;540;527;C
Qual o resultado de 20 x 3?;50;73;60;69;C
Qual o resultado de 25 x 3?;60;75;77;87;B
Qual o resultado de 27 x 8?;216;224;229;223;A
Qual o resultado de 26 x 7?;195;182;177;187;B
Qual o resultado de 20 x 4?;83;80;73;65;B
Qual o resultado de 18 x 12?;209;210;229;216;D
Qual o resultado de 32 x 3?;106;95;96;84;C
Qual o resultado de 33 x 8?;274;275;264;272;C
Qual o resultado de 17 x 4?;61;70;74;68;D
Qual o resultado de 36 x 7?;247;238;252;258;C
Qual o resultado de 21 x 4?;75;84;88;98;B
Qual o resultado de 33 x 5?;171;165;176;178;B
Qual o resultado de 29 x 3?;86;72;85;87;D
Qual o resultado de 15 x 10?;141;150;156;164;B
Qual o resultado de 40 x 14?;564;574;560;550;C
Qual o resultado de 32 x 7?;215;224;225;223;B
Qual o resultado de 21 x 4?;84;72;87;71;A
Qual o resultado de 16 x 8?;127;115;128;120;C
Qual o resultado de 40 x 6?;234;240;252;235;B
Qual o resultado de 33 x 4?;135;132;126;136;B
Qual o resultado de 29 x 10?;296;302;290;295;C
Qual o resultado de 27 x 9?;237;257;243;252;C
Qual o resultado de 12 x 10?;110;126;132;120;D
Qual o resultado de 37 x 12?;436;429;450;444;D
Qual o resultado de 30 x 5?;136;158;150;143;C
Qual o resultado de 37 x 8?;303;291;304;296;D
Qual o resultado de 37 x 12?;444;442;441;443;A
Qual o resultado de 24 x 8?;188;190;192;189;C
Qual o resultado de 31 x 10?;309;321;310;318;C
Qual o resultado de 12 x 8?;107;86;96;106;C
Qual o resultado de 14 x 9?;126;127;130;118;A
Qual o resultado de 15 x 9?;130;135;143;127;B
Qual o resultado de 36 x 14?;489;504;500;517;B
Qual o resultado de 15 x 15?;235;219;225;239;C
Qual o resultado de 14 x 6?;87;96;84;79;C
Qual o resultado de 21 x 5?;101;100;105;117;C
Qual o resultado de 16 x 14?;216;226;224;209;C
Qual o resultado de 17 x 11?;186;185;172;187;D
Qual o resultado de 19 x 3?;56;49;43;57;D
Qual o resultado de 26 x 4?;110;97;104;116;C
Qual o resultado de 18 x 3?;54;44;68;64;A
Qual o resultado de 33 x 4?;134;122;132;141;C
Qual o resultado de 38 x 10?;380;386;372;390;A
Qual o resultado de 23 x 4?;93;92;89;98;B
Qual o resultado de 25 x 14?;350;352;357;363;A
Qual o resultado de 30 x 3?;100;91;90;78;C
Qual o resultado de 28 x 5?;126;140;143;137;B
Qual o resultado de 14 x 3?;42;43;53;49;A
Qual o resultado de 24 x 10?;248;240;249;253;B
Qual o resultado de 28 x 10?;273;285;277;280;D
Qual o resultado de 31 x 3?;95;99;84;93;D
Qual o resultado de 17 x 12?;210;194;204;193;C
Qual o resultado de 14 x 15?;204;212;201;210;D
Qual o resultado de 38 x 7?;270;278;266;258;C
Qual o resultado de 28 x 8?;224;226;213;238;A
Qual o resultado de 32 x 4?;113;126;128;122;C
Qual o resultado de 34 x 13?;439;438;442;444;C
Qual o resultado de 16 x 12?;194;188;177;192;D
Qual o resultado de 16 x 7?;112;101;110;126;A
Qual o resultado de 11 x 12?;145;132;137;127;B
Qual o resultado de 21 x 7?;137;132;147;139;C
Qual o resultado de 34 x 11?;374;387;370;375;A
Qual o resultado de 26 x 14?;373;372;364;352;C
Qual o resultado de 27 x 6?;168;156;166;162;D
Qual o resultado de 25 x 11?;281;287;275;264;C
Qual o resultado de 25 x 13?;312;335;338;325;D
Qual o resultado de 38 x 12?;458;454;451;456;D
Qual o resultado de 34 x 12?;401;411;408;418;C
Qual o resultado de 31 x 9?;264;279;284;282;B
Qual o resultado de 35 x 12?;420;412;407;433;A
Qual o resultado de 35 x 9?;319;301;315;302;C
Qual o resultado de 12 x 9?;101;119;108;103;C
Qual o resultado de 21 x 13?;265;269;273;263;C
Qual o resultado de 35 x 3?;105;99;103;107;A
Qual o resultado de 22 x 15?;323;340;331;330;D
Qual o resultado de 35 x 4?;140;152;137;144;A
Qual o resultado de 20 x 15?;300;302;308;298;A
Qual o resultado de 28 x 6?;168;173;170;166;A
Qual o resultado de 37 x 5?;174;190;197;185;D
Qual o resultado de 32 x 15?;480;468;493;485;A
Qual o resultado de 13 x 8?;115;108;117;104;D
Qual o resultado de 40 x 14?;559;560;549;548;B
Qual o resultado de 19 x 7?;138;139;133;136;C
Qual o resultado de 24 x 9?;210;225;207;216;D
Qual o resultado de 13 x 15?;195;207;196;184;A
Qual o resultado de 23 x 15?;359;340;345;348;C
Qual o resultado de 19 x 13?;235;248;247;257;C
Qual o resultado de 34 x 3?;102;110;90;96;A
Qual o resultado de 22 x 13?;286;298;273;280;A
Qual o resultado de 37 x 10?;359;361;383;370;D
Qual o resultado de 14 x 10?;140;135;128;150;A
Qual o resultado de 26 x 12?;312;324;297;306;A
Qual o resultado de 27 x 7?;186;193;189;195;C
Qual o resultado de 26 x 4?;100;104;106;111;B
Qual o resultado de 37 x 13?;483;474;481;479;C
Qual o resultado de 12 x 4?;42;48;39;41;B
Qual o resultado de 13 x 12?;161;155;156;167;C
Qual o resultado de 12 x 8?;91;110;97;96;D
Qual o resultado de 25 x 15?;366;375;376;373;B
Qual o resultado de 35 x 4?;127;134;144;140;D
Qual o resultado de 22 x 14?;298;308;307;296;B
Qual o resultado de 25 x 4?;100;101;98;110;A
Qual o resultado de 28 x 10?;280;270;267;284;A
Qual o resultado de 40 x 3?;120;134;115;118;A
Qual o resultado de 40 x 4?;151;145;164;160;D
Qual o resultado de 14 x 14?;209;184;196;205;C
Qual o resultado de 27 x 8?;224;212;221;216;D
Qual o resultado de 16 x 10?;156;163;160;148;C
Qual o resultado de 13 x 6?;89;87;78;85;C
Qual o resultado de 21 x 3?;64;63;73;65;B
Qual o resultado de 29 x 8?;229;240;232;235;C
Qual o resultado de 26 x 5?;130;139;129;119;A
Qual o resultado de 37 x 11?;407;395;409;411;A
Qual o resultado de 38 x 4?;166;152;150;165;B
Qual o resultado de 36 x 14?;517;511;493;504;D
Qual o resultado de 21 x 14?;294;288;298;302;A
Qual o resultado de 31 x 14?;430;431;434;438;C
Qual o resultado de 39 x 3?;102;117;120;106;B
Qual o resultado de 37 x 9?;329;318;347;333;D
Qual o resultado de 24 x 14?;346;336;330;341;B
Qual o resultado de 17 x 10?;168;173;170;164;C
Qual o resultado de 14 x 13?;182;193;181;194;A
Qual o resultado de 29 x 4?;114;124;101;116;D
Qual o resultado de 23 x 11?;263;267;253;256;C
Qual o resultado de 35 x 3?;117;107;105;97;C
Qual o resultado de 11 x 14?;168;154;157;150;B
Qual o resultado de 19 x 11?;217;221;209;212;C
Qual o resultado de 23 x 12?;273;270;276;280;C
Qual o resultado de 27 x 9?;234;233;249;243;D
Qual o resultado de 32 x 9?;288;286;276;293;A
Qual o resultado de 16 x 12?;195;191;192;200;C
Qual o resultado de 23 x 15?;345;352;330;359;A
Qual o resultado de 30 x 14?;433;421;427;420;D
Qual o resultado de 25 x 14?;350;357;341;345;A
Qual o resultado de 31 x 11?;349;341;332;336;B
Qual o resultado de 34 x 8?;272;267;259;258;A
Qual o resultado de 27 x 5?;129;135;136;147;B
Qual o resultado de 15 x 14?;210;220;212;200;A
Qual o resultado de 22 x 14?;300;317;322;308;D
Qual o resultado de 24 x 7?;154;168;162;179;B
Qual o resultado de 21 x 12?;252;262;264;257;A
Qual o resultado de 14 x 12?;164;168;181;171;B
Qual o resultado de 21 x 4?;78;98;84;93;C
Qual o resultado de 33 x 8?;264;254;251;272;A
Qual o resultado de 30 x 12?;350;360;358;345;B
Qual o resultado de 24 x 3?;85;63;58;72;D
Qual o resultado de 37 x 9?;333;332;319;346;A
Qual o resultado de 20 x 9?;188;185;180;168;C
Qual o resultado de 23 x 12?;261;276;272;269;B
Qual o resultado de 21 x 8?;160;182;166;168;D
Qual o resultado de 36 x 10?;363;367;370;360;D
Qual o resultado de 13 x 10?;138;130;136;139;B
Qual o resultado de 25 x 3?;86;75;80;76;B
Qual o resultado de 11 x 13?;149;143;151;130;B
Qual o resultado de 30 x 14?;409;419;416;420;D
Qual o resultado de 14 x 12?;179;155;168;178;C
Qual o resultado de 13 x 12?;156;169;162;158;A
Qual o resultado de 34 x 8?;272;279;273;270;A
Qual o resultado de 30 x 9?;270;278;280;282;A
Qual o resultado de 34 x 8?;280;272;267;279;B
Qual o resultado de 30 x 13?;390;395;392;399;A
Qual o resultado de 27 x 8?;208;217;209;216;D
Qual o resultado de 34 x 9?;306;314;292;295;A
Qual o resultado de 16 x 9?;152;156;144;142;C
Qual o resultado de 13 x 9?;117;105;118;126;A
Qual o resultado de 28 x 11?;314;322;313;308;D
Qual o resultado de 24 x 5?;122;120;128;114;B
Qual o resultado de 18 x 6?;110;117;108;96;C
Qual o resultado de 27 x 9?;244;242;243;237;C
Qual o resultado de 18 x 4?;80;72;64;59;B
Qual o resultado de 19 x 9?;171;163;169;172;A
Qual o resultado de 37 x 12?;452;429;444;436;C
Qual o resultado de 17 x 3?;42;50;51;40;C
Qual o resultado de 31 x 15?;462;465;456;459;B
Qual o resultado de 25 x 4?;85;100;106;101;B
Qual o resultado de 13 x 14?;182;189;191;195;A
Qual o resultado de 39 x 7?;264;278;273;260;C
Qual o resultado de 34 x 12?;416;399;407;408;D
Qual o resultado de 27 x 9?;236;247;248;243;D
Qual o resultado de 22 x 15?;344;327;330;326;C
Qual o resultado de 30 x 3?;76;85;83;90;D
Qual o resultado de 36 x 7?;246;252;261;263;B
Qual o resultado de 26 x 9?;236;229;232;234;D
Qual o resultado de 16 x 8?;128;113;139;134;A
Qual o resultado de 17 x 5?;78;91;85;74;C
Qual o resultado de 24 x 6?;154;152;144;130;C
Qual o resultado de 38 x 7?;266;253;269;264;A
Qual o resultado de 13 x 11?;146;138;143;152;C
Qual o resultado de 16 x 7?;118;106;112;124;C
Qual o resultado de 15 x 6?;90;96;103;85;A
Qual o resultado de 22 x 8?;178;189;161;176;D
Qual o resultado de 15 x 10?;153;160;138;150;D
Qual o resultado de 29 x 5?;137;145;152;148;B
Qual o resultado de 29 x 12?;348;336;356;354;A
Qual o resultado de 11 x 8?;88;94;100;76;A
Qual o resultado de 21 x 13?;281;262;273;264;C
Qual o resultado de 19 x 13?;233;260;247;237;C
Qual o resultado de 33 x 15?;498;482;488;495;D
Qual o resultado de 38 x 13?;504;494;498;480;B
Qual o resultado de 31 x 11?;334;341;348;333;B
Qual o resultado de 20 x 5?;94;100;87;108;B
Qual o resultado de 37 x 12?;446;444;455;429;B
Qual o resultado de 12 x 7?;77;97;84;94;C
Qual o resultado de 32 x 11?;351;352;342;356;B
Qual o resultado de 27 x 14?;378;371;379;370;A
Qual o resultado de 35 x 8?;291;282;290;280;D
Qual o resultado de 25 x 12?;301;294;300;311;C
Qual o resultado de 14 x 12?;168;180;164;161;A
Qual o resultado de 11 x 8?;94;76;88;101;C
Qual o resultado de 11 x 14?;154;146;167;157;A
Qual o resultado de 22 x 7?;143;154;162;146;B
Qual o resultado de 15 x 14?;218;214;210;211;C
Qual o resultado de 15 x 4?;62;58;60;72;C
Qual o resultado de 18 x 3?;43;59;45;54;D
Qual o resultado de 23 x 6?;134;139;138;147;C
Qual o resultado de 22 x 10?;213;229;215;220;D
Qual o resultado de 16 x 10?;148;150;161;160;D
Qual o resultado de 24 x 5?;120;107;121;127;A
Qual o resultado de 12 x 6?;59;72;60;63;B
Qual o resultado de 22 x 11?;242;250;235;246;A
Qual o resultado de 31 x 13?;396;395;403;401;C
Qual o resultado de 28 x 3?;84;74;97;83;A
Qual o resultado de 12 x 13?;154;143;162;156;D
Qual o resultado de 22 x 7?;154;159;165;161;A
Qual o resultado de 30 x 10?;306;302;314;300;D
Qual o resultado de 29 x 13?;366;377;390;367;B
Qual o resultado de 31 x 5?;155;140;163;162;A
Qual o resultado de 35 x 14?;490;503;481;504;A
Qual o resultado de 28 x 14?;395;398;404;392;D
Qual o resultado de 38 x 15?;577;572;562;570;D
Qual o resultado de 23 x 9?;193;211;200;207;D
Qual o resultado de 17 x 5?;75;95;87;85;D
Qual o resultado de 40 x 13?;520;521;506;513;A
Qual o resultado de 26 x 4?;104;116;111;99;A
Qual o resultado de 24 x 13?;312;326;320;323;A
Qual o resultado de 14 x 4?;41;56;66;48;B
Qual o resultado de 23 x 7?;161;150;153;152;A
Qual o resultado de 29 x 9?;267;258;261;254;C
Qual o resultado de 15 x 3?;52;42;45;59;C
Quanto é 940 dividido por 20?;47;53;55;48;A
Quanto é 630 dividido por 18?;23;35;46;49;B
Quanto é 54 dividido por 9?;20;19;6;17;C
Quanto é 150 dividido por 3?;55;39;49;50;D
Quanto é 195 dividido por 15?;13;25;4;26;A
Quanto é 490 dividido por 10?;52;49;35;41;B
Quanto é 85 dividido por 5?;14;17;4;28;B
Quanto é 738 dividido por 18?;29;41;33;31;B
Quanto é 95 dividido por 19?;5;18;10;6;A
Quanto é 585 dividido por 15?;26;39;43;51;B
Quanto é 286 dividido por 11?;39;14;26;36;C
Quanto é 456 dividido por 12?;38;52;41;23;A
Quanto é 21 dividido por 3?;11;1;14;7;D
Quanto é 558 dividido por 18?;43;32;40;31;D
Quanto é 110 dividido por 10?;10;21;0;11;D
Quanto é 104 dividido por 8?;16;13;24;3;B
Quanto é 480 dividido por 15?;30;32;28;21;B
Quanto é 255 dividido por 17?;18;21;11;15;D
Quanto é 560 dividido por 14?;26;40;30;45;B
Quanto é 148 dividido por 4?;28;26;37;39;C
Quanto é 64 dividido por 4?;10;3;16;28;C
Quanto é 100 dividido por 20?;7;11;5;19;C
Quanto é 64 dividido por 8?;14;3;8;11;C
Quanto é 308 dividido por 11?;28;13;41;30;A
Quanto é 602 dividido por 14?;45;52;50;43;D
Quanto é 184 dividido por 4?;42;46;54;47;B
Quanto é 369 dividido por 9?;41;36;51;50;A
Quanto é 420 dividido por 14?;17;23;20;30;D
Quanto é 540 dividido por 20?;27;14;26;13;A
Quanto é 260 dividido por 10?;14;21;24;26;D
Quanto é 100 dividido por 5?;14;25;20;12;C
Quanto é 784 dividido por 16?;55;60;35;49;D
Quanto é 165 dividido por 5?;33;27;35;21;A
Quanto é 686 dividido por 14?;50;60;49;59;C
Quanto é 180 dividido por 4?;41;45;40;54;B
Quanto é 224 dividido por 16?;1;14;25;27;B
Quanto é 112 dividido por 4?;33;28;18;36;B
Quanto é 615 dividido por 15?;41;28;38;26;A
Quanto é 184 dividido por 8?;19;15;23;36;C
Quanto é 272 dividido por 17?;3;16;28;17;B
Quanto é 680 dividido por 20?;24;30;34;37;C
Quanto é 612 dividido por 17?;46;22;34;36;D
Quanto é 60 dividido por 5?;18;13;6;12;D
Quanto é 660 dividido por 15?;51;44;52;30;B
Quanto é 225 dividido por 5?;45;44;41;55;A
Quanto é 484 dividido por 11?;42;58;44;41;C
Quanto é 336 dividido por 7?;34;37;48;50;C
Quanto é 432 dividido por 12?;28;39;36;27;C
Quanto é 91 dividido por 13?;4;1;2;7;D
Quanto é 116 dividido por 4?;29;37;15;24;A
Quanto é 391 dividido por 17?;28;23;21;27;B
Quanto é 120 dividido por 4?;37;32;40;30;D
Quanto é 270 dividido por 18?;10;15;13;7;B
Quanto é 114 dividido por 3?;24;38;29;39;B
Quanto é 480 dividido por 15?;32;38;25;26;A
Quanto é 855 dividido por 19?;45;37;47;43;A
Quanto é 301 dividido por 7?;43;49;36;28;A
Quanto é 408 dividido por 17?;36;24;35;17;B
Quanto é 364 dividido por 13?;39;31;28;32;C
Quanto é 144 dividido por 12?;26;8;12;0;C
Quanto é 765 dividido por 17?;45;49;50;30;A
Quanto é 539 dividido por 11?;50;61;42;49;D
Quanto é 130 dividido por 13?;10;5;4;17;A
Quanto é 35 dividido por 7?;19;11;13;5;D
Quanto é 420 dividido por 15?;41;40;28;17;C
Quanto é 56 dividido por 7?;3;22;8;18;C
Quanto é 525 dividido por 15?;23;22;34;35;D
Quanto é 210 dividido por 5?;32;28;51;42;D
Quanto é 264 dividido por 8?;26;33;30;25;B
Quanto é 119 dividido por 7?;10;17;2;18;B
Quanto é 264 dividido por 6?;44;41;38;47;A
Quanto é 264 dividido por 8?;33;42;46;23;A
Quanto é 532 dividido por 14?;34;38;42;48;B
Quanto é 473 dividido por 11?;44;29;43;40;C
Quanto é 15 dividido por 3?;2;5;6;19;B
Quanto é 84 dividido por 14?;5;11;6;19;C
Quanto é 20 dividido por 4?;15;14;19;5;D
Quanto é 27 dividido por 3?;5;20;17;9;D
Quanto é 52 dividido por 4?;19;25;7;13;D
Quanto é 304 dividido por 8?;28;38;46;33;B
Quanto é 612 dividido por 18?;20;33;34;19;C
Quanto é 560 dividido por 20?;27;22;28;39;C
Quanto é 259 dividido por 7?;39;41;37;32;C
Quanto é 210 dividido por 15?;5;14;12;26;B
Quanto é 432 dividido por 18?;37;13;21;24;D
Quanto é 816 dividido por 17?;48;54;39;52;A
Quanto é 240 dividido por 5?;48;62;37;51;A
Quanto é 666 dividido por 18?;44;35;37;42;C
Quanto é 112 dividido por 14?;6;8;7;0;B
Quanto é 60 dividido por 10?;4;9;6;0;C
Quanto é 100 dividido por 5?;20;12;18;9;A
Quanto é 175 dividido por 5?;28;32;35;29;C
Quanto é 168 dividido por 12?;12;14;2;3;B
Quanto é 330 dividido por 10?;22;31;28;33;D
Quanto é 572 dividido por 13?;44;31;34;33;A
Quanto é 624 dividido por 16?;27;53;52;39;D
Quanto é 336 dividido por 16?;6;21;34;8;B
Quanto é 147 dividido por 3?;62;57;49;54;C
Quanto é 115 dividido por 5?;12;23;28;14;B
Quanto é 120 dividido por 5?;27;24;30;32;B
Quanto é 172 dividido por 4?;43;36;56;49;A
Quanto é 629 dividido por 17?;41;37;26;49;B
Quanto é 405 dividido por 9?;48;41;45;46;C
Quanto é 266 dividido por 7?;47;45;44;38;D
Quanto é 155 dividido por 5?;38;44;31;43;C
Quanto é 615 dividido por 15?;28;42;43;41;D
Quanto é 187 dividido por 11?;6;17;12;2;B
Quanto é 64 dividido por 8?;8;14;15;16;A
Quanto é 720 dividido por 20?;29;30;24;36;D
Quanto é 792 dividido por 18?;45;30;39;44;D
Quanto é 112 dividido por 8?;14;21;20;18;A
Quanto é 440 dividido por 10?;33;44;30;32;B
Quanto é 180 dividido por 18?;18;20;24;10;D
Quanto é 336 dividido por 14?;16;20;24;25;C
Quanto é 238 dividido por 7?;39;30;34;27;C
Quanto é 144 dividido por 16?;3;0;13;9;D
Quanto é 931 dividido por 19?;57;53;50;49;D
Quanto é 423 dividido por 9?;49;61;52;47;D
Quanto é 70 dividido por 5?;0;28;14;18;C
Quanto é 96 dividido por 12?;15;12;8;4;C
Quanto é 380 dividido por 19?;27;31;5;20;D
Quanto é 336 dividido por 7?;48;39;45;36;A
Quanto é 288 dividido por 9?;32;36;25;44;A
Quanto é 387 dividido por 9?;43;55;56;53;A
Quanto é 88 dividido por 11?;8;2;13;0;A
Quanto é 240 dividido por 16?;20;0;28;15;D
Quanto é 540 dividido por 20?;27;36;22;35;A
Quanto é 87 dividido por 3?;28;29;20;18;B
Quanto é 133 dividido por 19?;7;21;13;15;A
Quanto é 1000 dividido por 20?;50;52;58;35;A
Quanto é 198 dividido por 9?;18;25;34;22;D
Quanto é 104 dividido por 4?;24;22;20;26;D
Quanto é 128 dividido por 16?;8;11;10;5;A
Quanto é 220 dividido por 11?;20;30;21;17;A
Quanto é 588 dividido por 14?;43;42;27;38;B
