Faixa_Etaria;Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
6-8;Quanto é 35 + 41?;90;68;83;76;D
6-8;Quanto é 8 + 5?;3;17;5;13;D
6-8;Quanto é 5 + 40?;44;56;45;33;C
6-8;Quanto é 44 + 11?;52;55;47;43;B
6-8;Quanto é 39 + 33?;81;72;73;57;B
6-8;Quanto é 37 + 17?;40;41;54;57;C
6-8;Quanto é 23 + 39?;62;69;56;47;A
6-8;Quanto é 29 + 31?;60;65;73;64;A
6-8;Quanto é 49 + 31?;88;71;93;80;D
6-8;Quanto é 29 + 37?;66;74;62;73;A
6-8;Quanto é 28 + 15?;35;57;43;56;C
6-8;Quanto é 16 + 27?;36;43;52;35;B
6-8;Quanto é 25 + 25?;64;36;50;42;C
6-8;Quanto é 29 + 44?;78;83;63;73;D
6-8;Quanto é 16 + 26?;42;29;31;47;A
6-8;Quanto é 42 + 11?;57;67;46;53;D
6-8;Quanto é 23 + 24?;47;42;49;53;A
6-8;Quanto é 45 + 9?;50;54;55;51;B
6-8;Quanto é 9 + 49?;58;60;53;59;A
6-8;Quanto é 42 + 27?;56;69;65;78;B
6-8;Quanto é 6 + 20?;26;40;31;16;A
6-8;Quanto é 24 + 18?;41;52;42;38;C
6-8;Quanto é 27 + 12?;28;39;53;44;B
6-8;Quanto é 43 + 42?;89;85;77;71;B
6-8;Quanto é 30 + 33?;68;65;63;64;C
6-8;Quanto é 8 + 16?;20;32;26;24;D
6-8;Quanto é 50 + 30?;75;83;92;80;D
6-8;Quanto é 18 + 3?;21;22;17;32;A
6-8;Quanto é 13 + 12?;23;16;25;20;C
6-8;Quanto é 12 + 49?;47;68;61;62;C
6-8;Quanto é 26 + 26?;49;44;52;60;C
6-8;Quanto é 33 + 25?;61;56;58;65;C
6-8;Quanto é 14 + 30?;32;40;44;30;C
6-8;Quanto é 41 + 41?;75;82;74;94;B
6-8;Quanto é 26 + 47?;72;84;73;59;C
6-8;Quanto é 11 + 42?;43;53;66;57;B
6-8;Quanto é 50 + 38?;97;98;88;102;C
6-8;Quanto é 21 + 11?;35;32;17;25;B
6-8;Quanto é 11 + 31?;44;55;37;42;D
6-8;Quanto é 19 + 32?;42;62;51;63;C
6-8;Quanto é 24 + 19?;36;53;43;40;C
6-8;Quanto é 18 + 9?;27;29;26;34;A
6-8;Quanto é 45 + 38?;79;83;84;73;B
6-8;Quanto é 21 + 49?;70;75;61;72;A
6-8;Quanto é 15 + 43?;49;43;58;65;C
6-8;Quanto é 9 + 22?;41;31;22;35;B
6-8;Quanto é 7 + 29?;40;27;47;36;D
6-8;Quanto é 3 + 29?;35;23;32;39;C
6-8;Quanto é 17 + 25?;31;52;42;48;C
6-8;Quanto é 21 + 3?;33;11;13;24;D
6-8;Quanto é 8 + 43?;61;50;51;48;C
6-8;Quanto é 34 + 27?;57;48;50;61;D
6-8;Quanto é 39 + 27?;55;75;66;72;C
6-8;Quanto é 32 + 24?;58;47;56;43;C
6-8;Quanto é 10 + 3?;24;13;21;11;B
6-8;Quanto é 45 + 16?;63;61;64;48;B
6-8;Quanto é 21 + 37?;49;46;58;60;C
6-8;Quanto é 23 + 12?;35;37;25;33;A
6-8;Quanto é 10 + 17?;18;25;29;27;D
6-8;Quanto é 47 + 22?;75;69;78;55;B
6-8;Quanto é 40 + 19?;50;47;58;59;D
6-8;Quanto é 12 + 13?;38;25;36;35;B
6-8;Quanto é 10 + 32?;42;37;35;31;A
6-8;Quanto é 44 + 31?;73;78;83;75;D
6-8;Quanto é 42 + 35?;89;77;66;65;B
6-8;Quanto é 38 + 46?;80;84;78;71;B
6-8;Quanto é 18 + 23?;29;41;47;33;B
6-8;Quanto é 41 + 41?;81;86;92;82;D
6-8;Quanto é 36 + 28?;73;67;77;64;D
6-8;Quanto é 16 + 15?;41;30;21;31;D
6-8;Quanto é 10 + 10?;32;20;19;23;B
6-8;Quanto é 21 + 7?;28;27;25;38;A
6-8;Quanto é 31 + 15?;46;43;45;37;A
6-8;Quanto é 30 + 39?;79;75;69;65;C
6-8;Quanto é 49 + 3?;37;54;52;43;C
6-8;Quanto é 26 + 33?;67;68;50;59;D
6-8;Quanto é 29 + 47?;76;80;85;63;A
6-8;Quanto é 4 + 38?;42;52;44;29;A
6-8;Quanto é 11 + 39?;39;42;50;38;C
6-8;Quanto é 2 + 38?;40;35;47;53;A
6-8;Quanto é 36 + 37?;63;60;73;59;C
6-8;Quanto é 49 + 41?;86;85;90;104;C
6-8;Quanto é 25 + 50?;84;78;75;81;C
6-8;Quanto é 36 + 30?;70;66;78;63;B
6-8;Quanto é 50 + 43?;85;103;93;106;C
6-8;Quanto é 42 + 34?;68;79;71;76;D
6-8;Quanto é 50 + 24?;72;74;81;77;B
6-8;Quanto é 29 + 17?;57;46;45;39;B
6-8;Quanto é 48 + 40?;91;87;73;88;D
6-8;Quanto é 44 + 20?;69;72;78;64;D
6-8;Quanto é 19 + 2?;18;21;17;25;B
6-8;Quanto é 39 + 8?;51;45;39;47;D
6-8;Quanto é 7 + 15?;22;10;9;29;A
6-8;Quanto é 42 + 19?;60;65;61;68;C
6-8;Quanto é 32 + 43?;68;73;65;75;D
6-8;Quanto é 20 + 16?;36;24;49;23;A
6-8;Quanto é 27 + 30?;56;49;50;57;D
6-8;Quanto é 38 + 6?;33;37;39;44;D
6-8;Quanto é 11 + 3?;1;23;15;14;D
6-8;Quanto é 9 + 38?;36;33;46;47;D
6-8;Quanto é 7 + 36?;28;51;47;43;D
6-8;Quanto é 43 + 24?;70;60;55;67;D
6-8;Quanto é 28 + 42?;68;62;73;70;D
6-8;Quanto é 20 + 31?;56;44;40;51;D
6-8;Quanto é 42 + 41?;83;97;71;95;A
6-8;Quanto é 21 + 41?;70;65;63;62;D
6-8;Quanto é 21 + 25?;40;59;46;49;C
6-8;Quanto é 48 + 20?;68;56;75;82;A
6-8;Quanto é 12 + 3?;18;15;12;8;B
6-8;Quanto é 46 + 46?;77;92;83;95;B
6-8;Quanto é 33 + 13?;36;46;44;59;B
6-8;Quanto é 23 + 22?;47;39;45;58;C
6-8;Quanto é 41 + 20?;54;49;47;61;D
6-8;Quanto é 3 + 6?;0;9;14;12;B
6-8;Quanto é 6 + 45?;62;42;51;47;C
6-8;Quanto é 49 + 27?;67;88;85;76;D
6-8;Quanto é 22 + 28?;39;38;61;50;D
6-8;Quanto é 19 + 4?;12;23;18;26;B
6-8;Quanto é 46 + 24?;70;83;68;57;A
6-8;Quanto é 47 + 49?;87;95;96;89;C
6-8;Quanto é 50 + 29?;68;79;89;85;B
6-8;Quanto é 26 + 50?;76;86;67;62;A
6-8;Quanto é 15 + 42?;57;49;42;56;A
6-8;Quanto é 30 + 48?;68;78;71;66;B
6-8;Quanto é 12 + 37?;62;56;49;47;C
6-8;Quanto é 27 + 6?;45;34;33;35;C
6-8;Quanto é 23 + 3?;31;30;26;34;C
6-8;Quanto é 9 + 33?;42;40;38;43;A
6-8;Quanto é 7 + 31?;46;38;33;43;B
6-8;Quanto é 9 + 27?;47;36;27;46;B
6-8;Quanto é 8 + 30?;46;31;49;38;D
6-8;Quanto é 16 + 38?;50;66;44;54;D
6-8;Quanto é 44 + 32?;67;64;84;76;D
6-8;Quanto é 11 + 38?;48;49;47;61;B
6-8;Quanto é 6 + 19?;30;24;11;25;D
6-8;Quanto é 27 + 17?;35;58;48;44;D
6-8;Quanto é 33 + 18?;51;60;57;43;A
6-8;Quanto é 43 + 32?;70;82;75;76;C
6-8;Quanto é 5 + 43?;45;44;48;42;C
6-8;Quanto é 45 + 46?;84;103;104;91;D
6-8;Quanto é 42 + 45?;89;88;80;87;D
6-8;Quanto é 41 + 28?;74;70;69;54;C
6-8;Quanto é 10 + 21?;31;30;29;17;A
6-8;Quanto é 37 + 32?;56;62;69;75;C
6-8;Quanto é 35 + 50?;79;84;71;85;D
6-8;Quanto é 47 + 23?;63;56;81;70;D
6-8;Quanto é 43 + 17?;45;60;48;74;B
6-8;Quanto é 42 + 36?;80;92;78;64;C
6-8;Quanto é 32 + 39?;56;71;70;62;B
6-8;Quanto é 28 + 43?;71;79;78;61;A
6-8;Quanto é 16 + 10?;26;29;34;25;A
6-8;Quanto é 50 + 24?;74;72;81;69;A
6-8;Quanto é 26 + 16?;42;47;38;52;A
6-8;Quanto é 43 + 45?;82;74;99;88;D
6-8;Quanto é 34 + 28?;62;61;71;69;A
6-8;Quanto é 8 + 15?;35;31;23;17;C
6-8;Quanto é 8 + 46?;54;61;62;51;A
6-8;Quanto é 23 + 48?;72;70;67;71;D
6-8;Quanto é 8 + 3?;11;4;6;1;A
6-8;Quanto é 35 + 31?;66;65;59;56;A
6-8;Quanto é 31 + 21?;52;64;66;50;A
6-8;Quanto é 38 + 37?;85;61;78;75;D
6-8;Quanto é 6 + 13?;19;32;4;21;A
6-8;Quanto é 5 + 13?;18;24;29;5;A
6-8;Quanto é 24 + 32?;63;57;62;56;D
6-8;Quanto é 27 + 20?;47;56;50;40;A
6-8;Quanto é 19 + 15?;22;41;34;47;C
6-8;Quanto é 16 + 3?;29;6;19;21;C
6-8;Quanto é 46 + 16?;49;62;76;56;B
6-8;Quanto é 49 + 30?;75;85;65;79;D
6-8;Quanto é 47 + 25?;62;72;79;85;B
6-8;Quanto é 32 + 4?;36;47;27;49;A
6-8;Quanto é 20 + 43?;71;55;63;74;C
6-8;Quanto é 19 + 43?;63;74;68;62;D
6-8;Quanto é 21 + 8?;14;20;29;21;C
6-8;Quanto é 4 + 25?;18;43;41;29;D
6-8;Quanto é 7 + 42?;49;52;57;59;A
6-8;Quanto é 3 + 39?;51;42;50;27;B
6-8;Quanto é 22 + 4?;24;27;26;18;C
6-8;Quanto é 29 + 16?;42;47;32;45;D
6-8;Quanto é 23 + 27?;52;50;38;60;B
6-8;Quanto é 14 + 49?;67;63;56;71;B
6-8;Quanto é 31 + 22?;47;59;53;61;C
6-8;Quanto é 17 + 45?;57;62;64;71;B
6-8;Quanto é 37 + 9?;46;32;35;50;A
6-8;Quanto é 43 + 14?;43;67;58;57;D
6-8;Quanto é 16 + 11?;14;27;18;31;B
6-8;Quanto é 9 + 21?;29;39;30;36;C
6-8;Quanto é 5 + 2?;6;16;7;10;C
6-8;Quanto é 11 + 12?;23;17;15;9;A
6-8;Quanto é 26 + 30?;56;45;47;50;A
6-8;Quanto é 7 + 50?;50;64;57;51;C
6-8;Quanto é 22 + 18?;34;40;49;27;B
6-8;Quanto é 12 + 19?;31;36;26;43;A
6-8;Quanto é 17 + 41?;45;64;63;58;D
6-8;Quanto é 21 + 4?;11;25;33;36;B
6-8;Quanto é 6 + 12?;13;18;26;19;B
6-8;Quanto é 27 + 40?;81;67;62;75;B
6-8;Quanto é 6 + 35?;29;41;33;26;B
6-8;Quanto é 48 + 5?;57;41;53;54;C
6-8;Quanto é 16 + 39?;66;54;63;55;D
6-8;Quanto é 16 + 50?;66;54;80;72;A
6-8;Quanto é 33 + 11?;44;32;49;31;A
6-8;Quanto é 50 + 43?;105;90;93;87;C
6-8;Quanto é 38 + 3?;41;35;27;46;A
6-8;Quanto é 35 + 7?;40;43;42;50;C
6-8;Quanto é 45 + 44?;89;100;99;93;A
6-8;Quanto é 42 + 25?;67;57;63;61;A
6-8;Quanto é 8 + 8?;9;23;7;16;D
6-8;Quanto é 11 + 42?;53;49;55;44;A
6-8;Quanto é 33 + 28?;61;75;74;63;A
6-8;Quanto é 50 + 48?;89;103;98;95;C
6-8;Quanto é 4 + 42?;46;42;59;60;A
6-8;Quanto é 26 + 10?;40;42;36;41;C
6-8;Quanto é 8 + 20?;28;27;40;16;A
6-8;Quanto é 31 + 8?;39;50;42;25;A
6-8;Quanto é 41 + 15?;60;56;66;55;B
6-8;Quanto é 35 + 49?;97;84;83;98;B
6-8;Quanto é 34 + 33?;63;78;54;67;D
6-8;Quanto é 41 + 50?;96;95;91;104;C
6-8;Quanto é 7 + 31?;38;47;31;40;A
6-8;Quanto é 6 + 29?;35;41;46;32;A
6-8;Quanto é 50 + 20?;79;70;80;56;B
6-8;Quanto é 15 + 6?;8;7;29;21;D
6-8;Quanto é 50 + 8?;58;62;54;51;A
6-8;Quanto é 25 + 30?;63;61;66;55;D
6-8;Quanto é 31 + 12?;43;48;31;44;A
6-8;Quanto é 28 + 10?;35;47;49;38;D
6-8;Quanto é 12 + 11?;14;37;23;16;C
6-8;Quanto é 48 + 38?;86;89;71;84;A
6-8;Quanto é 26 + 8?;34;43;32;44;A
6-8;Quanto é 7 + 25?;18;32;35;22;B
6-8;Quanto é 45 + 22?;54;67;65;63;B
6-8;Quanto é 49 + 30?;79;91;82;88;A
6-8;Quanto é 8 + 49?;64;57;45;68;B
6-8;Quanto é 20 + 44?;64;51;65;62;A
6-8;Quanto é 42 + 36?;75;79;78;90;C
6-8;Quanto é 35 + 50?;85;94;87;89;A
6-8;Quanto é 8 + 6?;20;14;7;28;B
6-8;Quanto é 34 + 36?;69;70;66;84;B
6-8;Quanto é 3 + 6?;6;17;9;5;C
6-8;Quanto é 48 + 14?;73;52;62;58;C
6-8;Quanto é 22 + 27?;37;51;56;49;D
6-8;Quanto é 33 + 44?;82;69;77;70;C
6-8;Quanto é 46 + 49?;104;106;95;91;C
6-8;Quanto é 33 + 29?;75;72;49;62;D
6-8;Quanto é 45 + 2?;56;52;35;47;D
6-8;Quanto é 41 + 2?;36;43;52;51;B
6-8;Quanto é 13 + 3?;18;22;1;16;D
6-8;Quanto é 7 + 10?;18;30;20;17;D
6-8;Quanto é 35 + 18?;52;53;39;42;B
6-8;Quanto é 35 + 19?;55;63;60;54;D
6-8;Quanto é 44 - 10?;34;22;48;25;A
6-8;Quanto é 53 - 7?;49;54;46;32;C
6-8;Quanto é 34 - 8?;26;33;17;38;A
6-8;Quanto é 72 - 27?;34;54;45;57;C
6-8;Quanto é 71 - 47?;12;36;13;24;D
6-8;Quanto é 38 - 15?;31;14;27;23;D
6-8;Quanto é 22 - 6?;4;14;16;30;C
6-8;Quanto é 44 - 13?;21;20;40;31;D
6-8;Quanto é 50 - 11?;25;38;39;37;C
6-8;Quanto é 32 - 16?;24;8;16;3;C
6-8;Quanto é 61 - 28?;44;43;25;33;D
6-8;Quanto é 13 - 11?;4;2;7;16;B
6-8;Quanto é 71 - 48?;9;21;23;19;C
6-8;Quanto é 67 - 38?;16;35;29;15;C
6-8;Quanto é 69 - 52?;17;15;6;20;A
6-8;Quanto é 71 - 42?;22;23;29;41;C
6-8;Quanto é 30 - 9?;8;29;23;21;D
6-8;Quanto é 17 - 5?;3;7;18;12;D
6-8;Quanto é 67 - 21?;50;46;55;60;B
6-8;Quanto é 59 - 7?;57;51;41;52;D
6-8;Quanto é 56 - 36?;25;20;19;31;B
6-8;Quanto é 69 - 43?;26;22;12;40;A
6-8;Quanto é 18 - 14?;4;15;14;11;A
6-8;Quanto é 14 - 2?;12;1;0;18;A
6-8;Quanto é 48 - 21?;27;13;14;23;A
6-8;Quanto é 12 - 6?;6;5;19;14;A
6-8;Quanto é 33 - 5?;35;28;16;22;B
6-8;Quanto é 22 - 9?;21;18;16;13;D
6-8;Quanto é 54 - 35?;19;27;32;30;A
6-8;Quanto é 14 - 10?;3;16;4;5;C
6-8;Quanto é 42 - 5?;29;47;37;31;C
6-8;Quanto é 44 - 23?;21;26;22;34;A
6-8;Quanto é 38 - 34?;11;5;4;2;C
6-8;Quanto é 80 - 46?;24;34;20;30;B
6-8;Quanto é 75 - 51?;32;33;12;24;D
6-8;Quanto é 48 - 35?;16;26;13;8;C
6-8;Quanto é 25 - 20?;5;0;4;18;A
6-8;Quanto é 60 - 42?;18;15;21;13;A
6-8;Quanto é 73 - 70?;3;15;10;12;A
6-8;Quanto é 42 - 4?;39;38;34;35;B
6-8;Quanto é 44 - 24?;11;8;10;20;D
6-8;Quanto é 24 - 17?;1;7;3;9;B
6-8;Quanto é 15 - 13?;2;1;10;9;A
6-8;Quanto é 28 - 26?;10;2;0;9;B
6-8;Quanto é 29 - 13?;28;29;16;7;C
6-8;Quanto é 18 - 12?;9;19;6;4;C
6-8;Quanto é 51 - 22?;40;33;25;29;D
6-8;Quanto é 73 - 39?;34;35;38;33;A
6-8;Quanto é 70 - 56?;25;12;14;7;C
6-8;Quanto é 66 - 27?;46;26;39;24;C
6-8;Quanto é 14 - 4?;10;7;21;3;A
6-8;Quanto é 19 - 12?;13;16;7;15;C
6-8;Quanto é 79 - 34?;54;41;44;45;D
6-8;Quanto é 52 - 5?;38;47;53;32;B
6-8;Quanto é 24 - 4?;17;14;20;25;C
6-8;Quanto é 33 - 32?;8;1;6;12;B
6-8;Quanto é 44 - 19?;29;25;31;34;B
6-8;Quanto é 17 - 16?;3;1;13;12;B
6-8;Quanto é 75 - 54?;25;17;18;21;D
6-8;Quanto é 77 - 65?;7;12;18;15;B
6-8;Quanto é 59 - 41?;6;18;7;25;B
6-8;Quanto é 62 - 20?;51;42;36;33;B
6-8;Quanto é 24 - 22?;4;16;2;12;C
6-8;Quanto é 58 - 28?;32;35;18;30;D
6-8;Quanto é 77 - 24?;60;53;44;56;B
6-8;Quanto é 26 - 9?;23;17;24;16;B
6-8;Quanto é 36 - 6?;31;24;30;25;C
6-8;Quanto é 49 - 36?;13;8;11;23;A
6-8;Quanto é 58 - 34?;29;14;24;34;C
6-8;Quanto é 27 - 15?;12;19;17;18;A
6-8;Quanto é 70 - 4?;72;80;51;66;D
6-8;Quanto é 23 - 12?;2;11;18;19;B
6-8;Quanto é 67 - 6?;61;60;47;66;A
6-8;Quanto é 19 - 14?;7;5;11;16;B
6-8;Quanto é 52 - 45?;5;8;7;20;C
6-8;Quanto é 36 - 11?;25;39;30;37;A
6-8;Quanto é 79 - 72?;12;17;8;7;D
6-8;Quanto é 37 - 10?;12;20;36;27;D
6-8;Quanto é 60 - 33?;39;27;16;20;B
6-8;Quanto é 79 - 60?;19;16;26;4;A
6-8;Quanto é 14 - 10?;6;1;4;10;C
6-8;Quanto é 43 - 30?;21;18;13;5;C
6-8;Quanto é 63 - 3?;47;68;60;56;C
6-8;Quanto é 22 - 21?;1;8;0;7;A
6-8;Quanto é 52 - 18?;40;41;48;34;D
6-8;Quanto é 76 - 51?;36;25;13;35;B
6-8;Quanto é 32 - 2?;40;21;30;43;C
6-8;Quanto é 37 - 9?;30;37;28;20;C
6-8;Quanto é 40 - 23?;25;15;17;6;C
6-8;Quanto é 70 - 44?;21;25;26;29;C
6-8;Quanto é 74 - 71?;5;15;11;3;D
6-8;Quanto é 50 - 3?;47;51;50;55;A
6-8;Quanto é 71 - 25?;56;46;34;44;B
6-8;Quanto é 63 - 13?;59;48;35;50;D
6-8;Quanto é 26 - 19?;7;3;17;1;A
6-8;Quanto é 10 - 4?;14;2;6;11;C
6-8;Quanto é 64 - 55?;20;3;19;9;D
6-8;Quanto é 16 - 5?;11;1;4;12;A
6-8;Quanto é 22 - 21?;14;2;1;15;C
6-8;Quanto é 14 - 4?;10;1;8;19;A
6-8;Quanto é 77 - 45?;18;32;31;44;B
6-8;Quanto é 66 - 50?;16;15;29;24;A
6-8;Quanto é 73 - 28?;35;45;42;57;B
6-8;Quanto é 56 - 12?;41;44;30;47;B
6-8;Quanto é 51 - 3?;49;48;38;46;B
6-8;Quanto é 40 - 6?;30;39;40;34;D
6-8;Quanto é 55 - 49?;6;13;2;20;A
6-8;Quanto é 36 - 18?;7;20;18;5;C
6-8;Quanto é 16 - 15?;1;12;13;5;A
6-8;Quanto é 71 - 20?;46;51;37;49;B
6-8;Quanto é 28 - 3?;25;30;29;10;A
6-8;Quanto é 53 - 16?;43;37;44;28;B
6-8;Quanto é 42 - 32?;9;4;10;20;C
6-8;Quanto é 39 - 38?;6;0;5;1;D
