Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
Quanto é 36 + 42?;78;75;77;65;A
Quanto é 9 + 13?;23;13;22;33;C
Quanto é 14 + 39?;55;43;53;42;C
Quanto é 35 + 3?;40;48;25;38;D
Quanto é 34 + 2?;36;37;31;35;A
Quanto é 36 + 31?;65;71;66;67;D
Quanto é 48 + 17?;77;65;59;78;B
Quanto é 4 + 7?;17;13;11;6;C
Quanto é 50 + 49?;108;94;99;107;C
Quanto é 29 + 38?;67;68;66;80;A
Quanto é 40 + 46?;75;86;78;83;B
Quanto é 20 + 30?;41;45;50;36;C
Quanto é 14 + 5?;19;27;5;22;A
Quanto é 47 + 2?;45;49;40;61;B
Quanto é 47 + 3?;50;37;41;61;A
Quanto é 26 + 14?;40;34;39;45;A
Quanto é 21 + 18?;53;39;30;37;B
Quanto é 36 + 10?;46;45;56;59;A
Quanto é 46 + 50?;96;105;102;91;A
Quanto é 47 + 9?;52;60;56;43;C
Quanto é 24 + 29?;65;53;63;55;B
Quanto é 42 + 2?;49;44;38;46;B
Quanto é 16 + 30?;34;54;52;46;D
Quanto é 42 + 17?;67;54;45;59;D
Quanto é 16 + 33?;49;44;57;60;A
Quanto é 45 + 22?;67;70;72;71;A
Quanto é 30 + 29?;64;47;59;53;C
Quanto é 7 + 22?;15;29;34;21;B
Quanto é 7 + 29?;43;36;34;24;B
Quanto é 14 + 12?;39;29;20;26;D
Quanto é 5 + 34?;39;34;31;50;A
Quanto é 33 + 24?;62;57;71;67;B
Quanto é 45 + 10?;68;48;58;55;D
Quanto é 16 + 39?;55;47;45;51;A
Quanto é 3 + 41?;52;57;44;47;C
Quanto é 28 + 44?;60;77;72;71;C
Quanto é 7 + 12?;17;20;22;19;D
Quanto é 37 + 47?;94;81;84;93;C
Quanto é 21 + 24?;37;44;48;45;D
Quanto é 12 + 5?;4;27;17;3;C
Quanto é 34 + 24?;71;47;59;58;D
Quanto é 29 + 15?;44;29;56;46;A
Quanto é 36 + 5?;42;46;45;41;D
Quanto é 25 + 23?;48;52;62;50;A
Quanto é 17 + 25?;53;42;48;39;B
Quanto é 30 + 33?;63;56;66;70;A
Quanto é 20 + 18?;48;38;39;23;B
Quanto é 44 + 31?;75;74;87;72;A
Quanto é 4 + 9?;3;13;8;25;B
Quanto é 10 + 20?;39;30;34;26;B
Quanto é 48 + 16?;60;77;52;64;D
Quanto é 29 + 21?;41;38;62;50;D
Quanto é 45 + 27?;72;69;60;77;A
Quanto é 4 + 16?;20;31;33;8;A
Quanto é 33 + 39?;84;74;60;72;D
Quanto é 11 + 20?;34;31;20;22;B
Quanto é 13 + 40?;40;65;53;58;C
Quanto é 20 + 34?;54;55;51;46;A
Quanto é 17 + 11?;25;28;19;17;B
Quanto é 10 + 39?;34;54;49;39;C
Quanto é 32 + 23?;55;43;45;56;A
Quanto é 13 + 13?;19;26;30;17;B
Quanto é 38 + 22?;67;59;69;60;D
Quanto é 44 + 10?;48;41;64;54;D
Quanto é 26 + 25?;63;55;41;51;D
Quanto é 48 + 46?;92;94;104;99;B
Quanto é 26 + 33?;60;73;66;59;D
Quanto é 45 + 43?;88;86;98;99;A
Quanto é 24 + 35?;53;59;48;61;B
Quanto é 5 + 12?;30;27;17;9;C
Quanto é 21 + 13?;37;20;34;31;C
Quanto é 29 + 6?;27;40;35;38;C
Quanto é 46 + 37?;68;94;78;83;D
Quanto é 18 + 24?;42;31;30;49;A
Quanto é 21 + 25?;39;53;46;42;C
Quanto é 27 + 49?;76;74;82;67;A
Quanto é 49 + 42?;87;101;91;102;C
Quanto é 6 + 3?;4;13;8;9;D
Quanto é 6 + 33?;48;31;43;39;D
Quanto é 8 + 3?;11;3;6;20;A
Quanto é 43 + 16?;59;70;53;46;A
Quanto é 9 + 30?;39;27;46;28;A
Quanto é 35 + 41?;90;68;83;76;D
Quanto é 8 + 5?;3;17;5;13;D
Quanto é 5 + 40?;44;56;45;33;C
Quanto é 44 + 11?;52;55;47;43;B
Quanto é 39 + 33?;81;72;73;57;B
Quanto é 37 + 17?;40;41;54;57;C
Quanto é 23 + 39?;62;69;56;47;A
Quanto é 29 + 31?;60;65;73;64;A
Quanto é 49 + 31?;88;71;93;80;D
Quanto é 29 + 37?;66;74;62;73;A
Quanto é 28 + 15?;35;57;43;56;C
Quanto é 16 + 27?;36;43;52;35;B
Quanto é 25 + 25?;64;36;50;42;C
Quanto é 29 + 44?;78;83;63;73;D
Quanto é 16 + 26?;42;29;31;47;A
Quanto é 42 + 11?;57;67;46;53;D
Quanto é 23 + 24?;47;42;49;53;A
Quanto é 45 + 9?;50;54;55;51;B
Quanto é 9 + 49?;58;60;53;59;A
Quanto é 42 + 27?;56;69;65;78;B
Quanto é 6 + 20?;26;40;31;16;A
Quanto é 24 + 18?;41;52;42;38;C
Quanto é 27 + 12?;28;39;53;44;B
Quanto é 43 + 42?;89;85;77;71;B
Quanto é 30 + 33?;68;65;63;64;C
Quanto é 8 + 16?;20;32;26;24;D
Quanto é 50 + 30?;75;83;92;80;D
Quanto é 18 + 3?;21;22;17;32;A
Quanto é 13 + 12?;23;16;25;20;C
Quanto é 12 + 49?;47;68;61;62;C
Quanto é 26 + 26?;49;44;52;60;C
Quanto é 33 + 25?;61;56;58;65;C
Quanto é 14 + 30?;32;40;44;30;C
Quanto é 41 + 41?;75;82;74;94;B
Quanto é 26 + 47?;72;84;73;59;C
Quanto é 11 + 42?;43;53;66;57;B
Quanto é 50 + 38?;97;98;88;102;C
Quanto é 21 + 11?;35;32;17;25;B
Quanto é 11 + 31?;44;55;37;42;D
Quanto é 19 + 32?;42;62;51;63;C
Quanto é 24 + 19?;36;53;43;40;C
Quanto é 18 + 9?;27;29;26;34;A
Quanto é 45 + 38?;79;83;84;73;B
Quanto é 21 + 49?;70;75;61;72;A
Quanto é 15 + 43?;49;43;58;65;C
Quanto é 9 + 22?;41;31;22;35;B
Quanto é 7 + 29?;40;27;47;36;D
Quanto é 3 + 29?;35;23;32;39;C
Quanto é 17 + 25?;31;52;42;48;C
Quanto é 21 + 3?;33;11;13;24;D
Quanto é 8 + 43?;61;50;51;48;C
Quanto é 34 + 27?;57;48;50;61;D
Quanto é 39 + 27?;55;75;66;72;C
Quanto é 32 + 24?;58;47;56;43;C
Quanto é 10 + 3?;24;13;21;11;B
Quanto é 45 + 16?;63;61;64;48;B
Quanto é 21 + 37?;49;46;58;60;C
Quanto é 23 + 12?;35;37;25;33;A
Quanto é 10 + 17?;18;25;29;27;D
Quanto é 47 + 22?;75;69;78;55;B
Quanto é 40 + 19?;50;47;58;59;D
Quanto é 12 + 13?;38;25;36;35;B
Quanto é 10 + 32?;42;37;35;31;A
Quanto é 44 + 31?;73;78;83;75;D
Quanto é 42 + 35?;89;77;66;65;B
Quanto é 38 + 46?;80;84;78;71;B
Quanto é 18 + 23?;29;41;47;33;B
Quanto é 41 + 41?;81;86;92;82;D
Quanto é 36 + 28?;73;67;77;64;D
Quanto é 16 + 15?;41;30;21;31;D
Quanto é 10 + 10?;32;20;19;23;B
Quanto é 21 + 7?;28;27;25;38;A
Quanto é 31 + 15?;46;43;45;37;A
Quanto é 30 + 39?;79;75;69;65;C
Quanto é 49 + 3?;37;54;52;43;C
Quanto é 26 + 33?;67;68;50;59;D
Quanto é 29 + 47?;76;80;85;63;A
Quanto é 4 + 38?;42;52;44;29;A
Quanto é 11 + 39?;39;42;50;38;C
Quanto é 2 + 38?;40;35;47;53;A
Quanto é 36 + 37?;63;60;73;59;C
Quanto é 49 + 41?;86;85;90;104;C
Quanto é 25 + 50?;84;78;75;81;C
Quanto é 36 + 30?;70;66;78;63;B
Quanto é 50 + 43?;85;103;93;106;C
Quanto é 42 + 34?;68;79;71;76;D
Quanto é 50 + 24?;72;74;81;77;B
Quanto é 29 + 17?;57;46;45;39;B
Quanto é 48 + 40?;91;87;73;88;D
Quanto é 44 + 20?;69;72;78;64;D
Quanto é 19 + 2?;18;21;17;25;B
Quanto é 39 + 8?;51;45;39;47;D
Quanto é 7 + 15?;22;10;9;29;A
Quanto é 42 + 19?;60;65;61;68;C
Quanto é 32 + 43?;68;73;65;75;D
Quanto é 20 + 16?;36;24;49;23;A
Quanto é 27 + 30?;56;49;50;57;D
Quanto é 38 + 6?;33;37;39;44;D
Quanto é 11 + 3?;1;23;15;14;D
Quanto é 9 + 38?;36;33;46;47;D
Quanto é 7 + 36?;28;51;47;43;D
Quanto é 43 + 24?;70;60;55;67;D
Quanto é 28 + 42?;68;62;73;70;D
Quanto é 20 + 31?;56;44;40;51;D
Quanto é 42 + 41?;83;97;71;95;A
Quanto é 21 + 41?;70;65;63;62;D
Quanto é 21 + 25?;40;59;46;49;C
Quanto é 48 + 20?;68;56;75;82;A
Quanto é 12 + 3?;18;15;12;8;B
Quanto é 46 + 46?;77;92;83;95;B
Quanto é 33 + 13?;36;46;44;59;B
Quanto é 23 + 22?;47;39;45;58;C
Quanto é 41 + 20?;54;49;47;61;D
Quanto é 3 + 6?;0;9;14;12;B
Quanto é 6 + 45?;62;42;51;47;C
Quanto é 49 + 27?;67;88;85;76;D
Quanto é 22 + 28?;39;38;61;50;D
Quanto é 19 + 4?;12;23;18;26;B
Quanto é 46 + 24?;70;83;68;57;A
Quanto é 47 + 49?;87;95;96;89;C
Quanto é 50 + 29?;68;79;89;85;B
Quanto é 26 + 50?;76;86;67;62;A
Quanto é 15 + 42?;57;49;42;56;A
Quanto é 30 + 48?;68;78;71;66;B
Quanto é 12 + 37?;62;56;49;47;C
Quanto é 27 + 6?;45;34;33;35;C
Quanto é 23 + 3?;31;30;26;34;C
Quanto é 9 + 33?;42;40;38;43;A
Quanto é 7 + 31?;46;38;33;43;B
Quanto é 9 + 27?;47;36;27;46;B
Quanto é 8 + 30?;46;31;49;38;D
Quanto é 16 + 38?;50;66;44;54;D
Quanto é 44 + 32?;67;64;84;76;D
Quanto é 11 + 38?;48;49;47;61;B
Quanto é 6 + 19?;30;24;11;25;D
Quanto é 27 + 17?;35;58;48;44;D
Quanto é 33 + 18?;51;60;57;43;A
Quanto é 43 + 32?;70;82;75;76;C
Quanto é 5 + 43?;45;44;48;42;C
Quanto é 45 + 46?;84;103;104;91;D
Quanto é 42 + 45?;89;88;80;87;D
Quanto é 41 + 28?;74;70;69;54;C
Quanto é 10 + 21?;31;30;29;17;A
Quanto é 37 + 32?;56;62;69;75;C
Quanto é 35 + 50?;79;84;71;85;D
Quanto é 47 + 23?;63;56;81;70;D
Quanto é 43 + 17?;45;60;48;74;B
Quanto é 42 + 36?;80;92;78;64;C
Quanto é 32 + 39?;56;71;70;62;B
Quanto é 28 + 43?;71;79;78;61;A
Quanto é 16 + 10?;26;29;34;25;A
Quanto é 50 + 24?;74;72;81;69;A
Quanto é 26 + 16?;42;47;38;52;A
Quanto é 43 + 45?;82;74;99;88;D
Quanto é 34 + 28?;62;61;71;69;A
Quanto é 8 + 15?;35;31;23;17;C
Quanto é 8 + 46?;54;61;62;51;A
Quanto é 23 + 48?;72;70;67;71;D
Quanto é 8 + 3?;11;4;6;1;A
Quanto é 35 + 31?;66;65;59;56;A
Quanto é 31 + 21?;52;64;66;50;A
Quanto é 38 + 37?;85;61;78;75;D
Quanto é 6 + 13?;19;32;4;21;A
Quanto é 5 + 13?;18;24;29;5;A
Quanto é 24 + 32?;63;57;62;56;D
Quanto é 27 + 20?;47;56;50;40;A
Quanto é 19 + 15?;22;41;34;47;C
Quanto é 16 + 3?;29;6;19;21;C
Quanto é 46 + 16?;49;62;76;56;B
Quanto é 49 + 30?;75;85;65;79;D
Quanto é 47 + 25?;62;72;79;85;B
Quanto é 32 + 4?;36;47;27;49;A
Quanto é 20 + 43?;71;55;63;74;C
Quanto é 19 + 43?;63;74;68;62;D
Quanto é 21 + 8?;14;20;29;21;C
Quanto é 4 + 25?;18;43;41;29;D
Quanto é 7 + 42?;49;52;57;59;A
Quanto é 3 + 39?;51;42;50;27;B
Quanto é 22 + 4?;24;27;26;18;C
Quanto é 29 + 16?;42;47;32;45;D
Quanto é 23 + 27?;52;50;38;60;B
Quanto é 14 + 49?;67;63;56;71;B
Quanto é 31 + 22?;47;59;53;61;C
Quanto é 17 + 45?;57;62;64;71;B
Quanto é 37 + 9?;46;32;35;50;A
Quanto é 43 + 14?;43;67;58;57;D
Quanto é 16 + 11?;14;27;18;31;B
Quanto é 9 + 21?;29;39;30;36;C
Quanto é 5 + 2?;6;16;7;10;C
Quanto é 11 + 12?;23;17;15;9;A
Quanto é 26 + 30?;56;45;47;50;A
Quanto é 7 + 50?;50;64;57;51;C
Quanto é 22 + 18?;34;40;49;27;B
Quanto é 12 + 19?;31;36;26;43;A
Quanto é 17 + 41?;45;64;63;58;D
Quanto é 21 + 4?;11;25;33;36;B
Quanto é 6 + 12?;13;18;26;19;B
Quanto é 27 + 40?;81;67;62;75;B
Quanto é 6 + 35?;29;41;33;26;B
Quanto é 48 + 5?;57;41;53;54;C
Quanto é 16 + 39?;66;54;63;55;D
Quanto é 16 + 50?;66;54;80;72;A
Quanto é 33 + 11?;44;32;49;31;A
Quanto é 50 + 43?;105;90;93;87;C
Quanto é 38 + 3?;41;35;27;46;A
Quanto é 35 + 7?;40;43;42;50;C
Quanto é 45 + 44?;89;100;99;93;A
Quanto é 42 + 25?;67;57;63;61;A
Quanto é 8 + 8?;9;23;7;16;D
Quanto é 11 + 42?;53;49;55;44;A
Quanto é 33 + 28?;61;75;74;63;A
Quanto é 50 + 48?;89;103;98;95;C
Quanto é 4 + 42?;46;42;59;60;A
Quanto é 26 + 10?;40;42;36;41;C
Quanto é 8 + 20?;28;27;40;16;A
Quanto é 31 + 8?;39;50;42;25;A
Quanto é 41 + 15?;60;56;66;55;B
Quanto é 35 + 49?;97;84;83;98;B
Quanto é 34 + 33?;63;78;54;67;D
Quanto é 41 + 50?;96;95;91;104;C
Quanto é 7 + 31?;38;47;31;40;A
Quanto é 6 + 29?;35;41;46;32;A
Quanto é 50 + 20?;79;70;80;56;B
Quanto é 15 + 6?;8;7;29;21;D
Quanto é 50 + 8?;58;62;54;51;A
Quanto é 25 + 30?;63;61;66;55;D
Quanto é 31 + 12?;43;48;31;44;A
Quanto é 28 + 10?;35;47;49;38;D
Quanto é 12 + 11?;14;37;23;16;C
Quanto é 48 + 38?;86;89;71;84;A
Quanto é 26 + 8?;34;43;32;44;A
Quanto é 7 + 25?;18;32;35;22;B
Quanto é 45 + 22?;54;67;65;63;B
Quanto é 49 + 30?;79;91;82;88;A
Quanto é 8 + 49?;64;57;45;68;B
Quanto é 20 + 44?;64;51;65;62;A
Quanto é 42 + 36?;75;79;78;90;C
Quanto é 35 + 50?;85;94;87;89;A
Quanto é 8 + 6?;20;14;7;28;B
Quanto é 34 + 36?;69;70;66;84;B
Quanto é 3 + 6?;6;17;9;5;C
Quanto é 48 + 14?;73;52;62;58;C
Quanto é 22 + 27?;37;51;56;49;D
Quanto é 33 + 44?;82;69;77;70;C
Quanto é 46 + 49?;104;106;95;91;C
Quanto é 33 + 29?;75;72;49;62;D
Quanto é 45 + 2?;56;52;35;47;D
Quanto é 41 + 2?;36;43;52;51;B
Quanto é 13 + 3?;18;22;1;16;D
Quanto é 7 + 10?;18;30;20;17;D
Quanto é 35 + 18?;52;53;39;42;B
Quanto é 35 + 19?;55;63;60;54;D
Quanto é 44 - 10?;34;22;48;25;A
Quanto é 53 - 7?;49;54;46;32;C
Quanto é 34 - 8?;26;33;17;38;A
Quanto é 72 - 27?;34;54;45;57;C
Quanto é 71 - 47?;12;36;13;24;D
Quanto é 38 - 15?;31;14;27;23;D
Quanto é 22 - 6?;4;14;16;30;C
Quanto é 44 - 13?;21;20;40;31;D
Quanto é 50 - 11?;25;38;39;37;C
Quanto é 32 - 16?;24;8;16;3;C
Quanto é 61 - 28?;44;43;25;33;D
Quanto é 13 - 11?;4;2;7;16;B
Quanto é 71 - 48?;9;21;23;19;C
Quanto é 67 - 38?;16;35;29;15;C
Quanto é 69 - 52?;17;15;6;20;A
Quanto é 71 - 42?;22;23;29;41;C
Quanto é 30 - 9?;8;29;23;21;D
Quanto é 17 - 5?;3;7;18;12;D
Quanto é 67 - 21?;50;46;55;60;B
Quanto é 59 - 7?;57;51;41;52;D
Quanto é 56 - 36?;25;20;19;31;B
Quanto é 69 - 43?;26;22;12;40;A
Quanto é 18 - 14?;4;15;14;11;A
Quanto é 14 - 2?;12;1;0;18;A
Quanto é 48 - 21?;27;13;14;23;A
Quanto é 12 - 6?;6;5;19;14;A
Quanto é 33 - 5?;35;28;16;22;B
Quanto é 22 - 9?;21;18;16;13;D
Quanto é 54 - 35?;19;27;32;30;A
Quanto é 14 - 10?;3;16;4;5;C
Quanto é 42 - 5?;29;47;37;31;C
Quanto é 44 - 23?;21;26;22;34;A
Quanto é 38 - 34?;11;5;4;2;C
Quanto é 80 - 46?;24;34;20;30;B
Quanto é 75 - 51?;32;33;12;24;D
Quanto é 48 - 35?;16;26;13;8;C
Quanto é 25 - 20?;5;0;4;18;A
Quanto é 60 - 42?;18;15;21;13;A
Quanto é 73 - 70?;3;15;10;12;A
Quanto é 42 - 4?;39;38;34;35;B
Quanto é 44 - 24?;11;8;10;20;D
Quanto é 24 - 17?;1;7;3;9;B
Quanto é 15 - 13?;2;1;10;9;A
Quanto é 28 - 26?;10;2;0;9;B
Quanto é 29 - 13?;28;29;16;7;C
Quanto é 18 - 12?;9;19;6;4;C
Quanto é 51 - 22?;40;33;25;29;D
Quanto é 73 - 39?;34;35;38;33;A
Quanto é 70 - 56?;25;12;14;7;C
Quanto é 66 - 27?;46;26;39;24;C
Quanto é 14 - 4?;10;7;21;3;A
Quanto é 19 - 12?;13;16;7;15;C
Quanto é 79 - 34?;54;41;44;45;D
Quanto é 52 - 5?;38;47;53;32;B
Quanto é 24 - 4?;17;14;20;25;C
Quanto é 33 - 32?;8;1;6;12;B
Quanto é 44 - 19?;29;25;31;34;B
Quanto é 17 - 16?;3;1;13;12;B
Quanto é 75 - 54?;25;17;18;21;D
Quanto é 77 - 65?;7;12;18;15;B
Quanto é 59 - 41?;6;18;7;25;B
Quanto é 62 - 20?;51;42;36;33;B
Quanto é 24 - 22?;4;16;2;12;C
Quanto é 58 - 28?;32;35;18;30;D
Quanto é 77 - 24?;60;53;44;56;B
Quanto é 26 - 9?;23;17;24;16;B
Quanto é 36 - 6?;31;24;30;25;C
Quanto é 49 - 36?;13;8;11;23;A
Quanto é 58 - 34?;29;14;24;34;C
Quanto é 27 - 15?;12;19;17;18;A
Quanto é 70 - 4?;72;80;51;66;D
Quanto é 23 - 12?;2;11;18;19;B
Quanto é 67 - 6?;61;60;47;66;A
Quanto é 19 - 14?;7;5;11;16;B
Quanto é 52 - 45?;5;8;7;20;C
Quanto é 36 - 11?;25;39;30;37;A
Quanto é 79 - 72?;12;17;8;7;D
Quanto é 37 - 10?;12;20;36;27;D
Quanto é 60 - 33?;39;27;16;20;B
Quanto é 79 - 60?;19;16;26;4;A
Quanto é 14 - 10?;6;1;4;10;C
Quanto é 43 - 30?;21;18;13;5;C
Quanto é 63 - 3?;47;68;60;56;C
Quanto é 22 - 21?;1;8;0;7;A
Quanto é 52 - 18?;40;41;48;34;D
Quanto é 76 - 51?;36;25;13;35;B
Quanto é 32 - 2?;40;21;30;43;C
Quanto é 37 - 9?;30;37;28;20;C
Quanto é 40 - 23?;25;15;17;6;C
Quanto é 70 - 44?;21;25;26;29;C
Quanto é 74 - 71?;5;15;11;3;D
Quanto é 50 - 3?;47;51;50;55;A
Quanto é 71 - 25?;56;46;34;44;B
Quanto é 63 - 13?;59;48;35;50;D
Quanto é 26 - 19?;7;3;17;1;A
Quanto é 10 - 4?;14;2;6;11;C
Quanto é 64 - 55?;20;3;19;9;D
Quanto é 16 - 5?;11;1;4;12;A
Quanto é 22 - 21?;14;2;1;15;C
Quanto é 14 - 4?;10;1;8;19;A
Quanto é 77 - 45?;18;32;31;44;B
Quanto é 66 - 50?;16;15;29;24;A
Quanto é 73 - 28?;35;45;42;57;B
Quanto é 56 - 12?;41;44;30;47;B
Quanto é 51 - 3?;49;48;38;46;B
Quanto é 40 - 6?;30;39;40;34;D
Quanto é 55 - 49?;6;13;2;20;A
Quanto é 36 - 18?;7;20;18;5;C
Quanto é 16 - 15?;1;12;13;5;A
Quanto é 71 - 20?;46;51;37;49;B
Quanto é 28 - 3?;25;30;29;10;A
Quanto é 53 - 16?;43;37;44;28;B
Quanto é 42 - 32?;9;4;10;20;C
Quanto é 39 - 38?;6;0;5;1;D
Quanto é 19 - 16?;3;14;0;2;A
Quanto é 78 - 46?;26;32;18;38;B
Quanto é 73 - 26?;44;47;51;45;B
Quanto é 33 - 32?;0;1;15;12;B
Quanto é 28 - 25?;8;3;11;5;B
Quanto é 40 - 5?;20;49;39;35;D
Quanto é 68 - 67?;15;1;3;13;B
Quanto é 63 - 13?;50;47;58;41;A
Quanto é 50 - 41?;22;9;15;14;B
Quanto é 34 - 4?;36;41;30;32;C
Quanto é 27 - 12?;29;11;15;5;C
Quanto é 10 - 8?;0;14;7;2;D
Quanto é 10 - 6?;6;17;5;4;D
Quanto é 49 - 31?;21;5;18;20;C
Quanto é 44 - 30?;12;3;14;25;C
Quanto é 30 - 4?;16;21;12;26;D
Quanto é 65 - 29?;36;49;37;24;A
Quanto é 32 - 14?;30;4;18;29;C
Quanto é 53 - 22?;31;19;18;25;A
Quanto é 24 - 19?;13;5;8;2;B
Quanto é 80 - 20?;69;46;57;60;D
Quanto é 57 - 47?;10;14;18;20;A
Quanto é 16 - 2?;19;14;21;20;B
Quanto é 78 - 5?;87;61;58;73;D
Quanto é 73 - 64?;22;9;12;0;B
Quanto é 12 - 9?;15;8;4;3;D
Quanto é 61 - 15?;40;57;53;46;D
Quanto é 78 - 41?;37;33;30;38;A
Quanto é 75 - 10?;62;65;51;58;B
Quanto é 56 - 40?;16;11;18;26;A
Quanto é 52 - 47?;4;19;14;5;D
Quanto é 49 - 36?;7;23;9;13;D
Quanto é 45 - 14?;40;31;23;19;B
Quanto é 39 - 27?;19;12;1;13;B
Quanto é 16 - 6?;10;20;15;7;A
Quanto é 33 - 24?;13;9;19;21;B
Quanto é 41 - 28?;20;13;5;17;B
Quanto é 80 - 72?;20;8;2;19;B
Quanto é 62 - 52?;11;12;4;10;D
Quanto é 79 - 13?;61;66;53;54;B
Quanto é 19 - 6?;6;9;0;13;D
Quanto é 19 - 18?;7;9;1;12;C
Quanto é 36 - 32?;10;13;4;11;C
Quanto é 66 - 15?;37;48;51;40;C
Quanto é 34 - 20?;16;27;14;20;C
Quanto é 74 - 42?;43;27;32;34;C
Quanto é 27 - 13?;6;0;14;10;C
Quanto é 79 - 72?;19;7;6;0;B
Quanto é 34 - 30?;13;1;8;4;D
Quanto é 51 - 19?;27;44;33;32;D
Quanto é 69 - 8?;61;62;69;52;A
Quanto é 77 - 35?;29;30;38;42;D
Quanto é 67 - 19?;48;49;62;41;A
Quanto é 44 - 8?;40;39;28;36;D
Quanto é 32 - 21?;4;1;18;11;D
Quanto é 42 - 26?;27;2;16;10;C
Quanto é 72 - 70?;3;2;13;7;B
Quanto é 24 - 6?;26;21;18;28;C
Quanto é 80 - 67?;13;18;23;5;A
Quanto é 55 - 16?;43;38;37;39;D
Quanto é 76 - 41?;21;47;40;35;D
Quanto é 57 - 14?;28;40;34;43;D
Quanto é 69 - 65?;1;14;4;0;C
Quanto é 14 - 9?;5;10;19;0;A
Quanto é 14 - 2?;1;26;13;12;D
Quanto é 43 - 18?;34;25;20;29;B
Quanto é 12 - 8?;9;2;15;4;D
Quanto é 67 - 42?;17;23;25;24;C
Quanto é 40 - 8?;37;28;32;31;C
Quanto é 69 - 45?;10;24;11;22;B
Quanto é 19 - 5?;9;14;10;7;B
Quanto é 47 - 37?;5;10;2;13;B
Quanto é 76 - 41?;49;29;35;34;C
Quanto é 33 - 17?;17;9;16;5;C
Quanto é 56 - 20?;36;43;21;31;A
Quanto é 70 - 63?;2;7;4;21;B
Quanto é 43 - 40?;0;6;7;3;D
Quanto é 30 - 14?;16;28;17;27;A
Quanto é 39 - 8?;31;16;32;26;A
Quanto é 80 - 17?;69;67;63;71;C
Quanto é 54 - 14?;44;40;25;38;B
Quanto é 27 - 2?;29;25;38;30;B
Quanto é 64 - 26?;49;38;34;41;B
Quanto é 25 - 19?;20;6;0;1;B
Quanto é 30 - 28?;3;2;7;12;B
Quanto é 44 - 11?;33;28;24;36;A
Quanto é 80 - 31?;50;35;49;41;C
Quanto é 44 - 13?;27;44;31;26;C
Quanto é 45 - 23?;20;22;15;29;B
Quanto é 47 - 43?;1;12;0;4;D
