Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
Resolva a equação para x: 3x + 17 = 44;9;1;17;6;A
Resolva a equação para x: 4x + 16 = 40;10;1;6;17;C
Resolva a equação para x: 9x + 11 = 74;5;2;8;7;D
Resolva a equação para x: 9x + 18 = 81;16;7;11;13;B
Resolva a equação para x: 7x + 21 = 42;13;1;11;3;D
Resolva a equação para x: 8x + 10 = 90;12;19;9;10;D
Resolva a equação para x: 6x + 1 = 19;3;8;7;2;A
Resolva a equação para x: 5x + 2 = 52;10;4;8;14;A
Resolva a equação para x: 5x + 4 = 64;20;21;12;11;C
Resolva a equação para x: 4x + 20 = 40;5;1;18;11;A
Resolva a equação para x: 6x + 7 = 55;1;4;8;3;C
Resolva a equação para x: 3x + 25 = 40;13;6;5;8;C
Resolva a equação para x: 5x + 18 = 58;3;21;15;8;D
Resolva a equação para x: 5x + 9 = 19;2;16;1;14;A
Resolva a equação para x: 5x + 10 = 55;21;9;11;1;B
Resolva a equação para x: 9x + 19 = 37;7;0;2;13;C
Resolva a equação para x: 6x + 14 = 62;8;6;17;3;A
Resolva a equação para x: 8x + 14 = 94;5;6;10;11;C
Resolva a equação para x: 8x + 22 = 110;15;23;11;12;C
Resolva a equação para x: 3x + 2 = 26;10;18;8;11;C
Resolva a equação para x: 3x + 12 = 39;19;8;0;9;D
Resolva a equação para x: 8x + 7 = 47;9;5;15;14;B
Resolva a equação para x: 7x + 3 = 17;1;13;2;10;C
Resolva a equação para x: 5x + 12 = 62;21;5;10;6;C
Resolva a equação para x: 8x + 8 = 24;7;1;2;5;C
Resolva a equação para x: 4x + 14 = 34;6;11;10;5;D
Resolva a equação para x: 6x + 9 = 27;15;7;4;3;D
Resolva a equação para x: 9x + 8 = 98;10;18;0;2;A
Resolva a equação para x: 2x + 25 = 31;2;3;16;10;B
Resolva a equação para x: 7x + 3 = 52;21;17;10;7;D
Resolva a equação para x: 4x + 11 = 43;22;17;8;7;C
Resolva a equação para x: 8x + 20 = 116;3;4;12;23;C
Resolva a equação para x: 4x + 5 = 41;13;9;10;19;B
Resolva a equação para x: 7x + 16 = 51;5;17;7;15;A
Resolva a equação para x: 7x + 25 = 88;6;9;12;3;B
Resolva a equação para x: 8x + 11 = 27;16;13;5;2;D
Resolva a equação para x: 2x + 1 = 17;17;8;1;11;B
Resolva a equação para x: 2x + 15 = 29;11;12;3;7;D
Resolva a equação para x: 8x + 22 = 86;1;6;8;4;C
Resolva a equação para x: 6x + 25 = 67;16;7;6;12;B
Resolva a equação para x: 4x + 8 = 20;3;2;5;1;A
Resolva a equação para x: 7x + 6 = 48;10;2;6;1;C
Resolva a equação para x: 8x + 6 = 70;3;20;8;2;C
Resolva a equação para x: 6x + 8 = 74;12;11;23;6;B
Resolva a equação para x: 3x + 7 = 34;18;11;9;8;C
Resolva a equação para x: 8x + 19 = 67;4;1;6;8;C
Resolva a equação para x: 7x + 11 = 67;18;9;12;8;D
Resolva a equação para x: 4x + 12 = 40;17;21;7;1;C
Resolva a equação para x: 2x + 25 = 37;6;8;3;20;A
Resolva a equação para x: 5x + 24 = 64;20;8;4;14;B
Resolva a equação para x: 8x + 1 = 81;8;18;4;10;D
Resolva a equação para x: 6x + 2 = 68;21;16;11;19;C
Resolva a equação para x: 7x + 11 = 95;20;18;23;12;D
Resolva a equação para x: 3x + 8 = 41;8;6;5;11;D
Resolva a equação para x: 6x + 23 = 35;2;4;9;12;A
Resolva a equação para x: 6x + 17 = 41;10;13;4;14;C
Resolva a equação para x: 6x + 13 = 73;10;18;20;23;A
Resolva a equação para x: 4x + 18 = 46;9;0;21;7;D
Resolva a equação para x: 8x + 8 = 40;10;4;18;17;B
Resolva a equação para x: 8x + 1 = 81;1;21;3;10;D
Resolva a equação para x: 3x + 5 = 35;20;11;10;14;C
Resolva a equação para x: 6x + 25 = 79;11;21;3;9;D
Resolva a equação para x: 5x + 3 = 48;0;18;9;19;C
Resolva a equação para x: 4x + 14 = 42;7;21;17;5;A
Resolva a equação para x: 5x + 3 = 18;16;4;3;0;C
Resolva a equação para x: 9x + 3 = 39;9;3;4;13;C
Resolva a equação para x: 6x + 17 = 29;2;13;10;11;A
Resolva a equação para x: 5x + 2 = 17;6;9;3;7;C
Resolva a equação para x: 2x + 2 = 20;21;17;20;9;D
Resolva a equação para x: 3x + 1 = 19;14;0;6;2;C
Resolva a equação para x: 3x + 12 = 48;12;25;6;16;A
Resolva a equação para x: 5x + 18 = 28;2;16;6;11;A
Resolva a equação para x: 5x + 20 = 55;7;9;15;8;A
Resolva a equação para x: 8x + 22 = 94;8;9;13;23;B
Resolva a equação para x: 5x + 15 = 55;15;20;8;17;C
Resolva a equação para x: 9x + 16 = 97;9;18;1;13;A
Resolva a equação para x: 6x + 13 = 37;10;0;16;4;D
Resolva a equação para x: 8x + 10 = 50;5;4;9;17;A
Resolva a equação para x: 3x + 20 = 41;2;10;5;7;D
Resolva a equação para x: 3x + 12 = 18;1;2;16;14;B
Resolva a equação para x: 8x + 24 = 112;2;11;3;18;B
Resolva a equação para x: 9x + 12 = 48;3;6;2;4;D
Resolva a equação para x: 7x + 7 = 28;10;14;3;2;C
Resolva a equação para x: 9x + 20 = 56;9;18;5;4;D
Resolva a equação para x: 9x + 14 = 50;5;9;4;17;C
Resolva a equação para x: 3x + 16 = 34;6;15;10;18;A
Resolva a equação para x: 5x + 5 = 60;4;16;11;21;C
Resolva a equação para x: 4x + 12 = 48;4;9;1;11;B
Resolva a equação para x: 6x + 13 = 31;1;5;3;0;C
Resolva a equação para x: 2x + 7 = 21;4;7;21;19;B
Resolva a equação para x: 5x + 24 = 59;21;9;19;7;D
Resolva a equação para x: 4x + 11 = 19;12;14;2;16;C
Resolva a equação para x: 5x + 11 = 66;17;8;5;11;D
Resolva a equação para x: 4x + 5 = 45;10;16;8;7;A
Resolva a equação para x: 6x + 22 = 70;0;8;3;1;B
Resolva a equação para x: 7x + 10 = 52;6;11;4;17;A
Resolva a equação para x: 8x + 10 = 82;23;9;8;21;B
Resolva a equação para x: 9x + 19 = 109;23;10;18;17;B
Resolva a equação para x: 8x + 14 = 30;14;9;2;11;C
Resolva a equação para x: 9x + 10 = 64;0;6;10;9;B
Resolva a equação para x: 8x + 18 = 58;17;14;5;0;C
Resolva a equação para x: 4x + 11 = 51;10;3;18;8;A
Resolva a equação para x: 6x + 17 = 77;16;2;10;19;C
Resolva a equação para x: 2x + 23 = 39;8;4;15;18;A
Resolva a equação para x: 5x + 17 = 27;2;15;10;9;A
Resolva a equação para x: 3x + 13 = 37;13;8;7;19;B
Resolva a equação para x: 4x + 16 = 64;12;7;21;17;A
Resolva a equação para x: 2x + 20 = 28;15;12;4;18;C
Resolva a equação para x: 2x + 15 = 27;13;6;7;15;B
Resolva a equação para x: 9x + 16 = 79;7;5;16;10;A
Resolva a equação para x: 2x + 20 = 44;12;20;16;8;A
Resolva a equação para x: 6x + 22 = 40;15;12;3;8;C
Resolva a equação para x: 8x + 6 = 22;6;14;2;5;C
Resolva a equação para x: 4x + 7 = 31;16;18;0;6;D
Resolva a equação para x: 6x + 8 = 44;6;9;5;16;A
Resolva a equação para x: 4x + 15 = 39;17;9;12;6;D
Resolva a equação para x: 8x + 18 = 66;8;4;6;5;C
Resolva a equação para x: 9x + 10 = 91;12;14;10;9;D
Resolva a equação para x: 8x + 24 = 72;20;6;16;3;B
Resolva a equação para x: 8x + 9 = 81;9;10;14;5;A
Resolva a equação para x: 2x + 12 = 36;2;17;12;7;C
Resolva a equação para x: 4x + 10 = 54;14;13;11;7;C
Resolva a equação para x: 3x + 2 = 29;20;14;21;9;D
Resolva a equação para x: 7x + 1 = 43;8;14;6;2;C
Resolva a equação para x: 3x + 13 = 34;17;7;12;1;B
Resolva a equação para x: 2x + 25 = 29;2;15;10;0;A
Resolva a equação para x: 9x + 23 = 104;2;22;9;17;C
Resolva a equação para x: 3x + 14 = 44;10;3;9;1;A
Resolva a equação para x: 2x + 1 = 11;5;11;14;19;A
Resolva a equação para x: 4x + 5 = 45;13;14;20;10;D
Resolva a equação para x: 6x + 4 = 16;14;2;5;13;B
Resolva a equação para x: 4x + 20 = 44;18;6;19;15;B
Resolva a equação para x: 2x + 4 = 8;5;6;2;3;C
Resolva a equação para x: 4x + 17 = 49;7;8;13;21;B
Resolva a equação para x: 9x + 21 = 93;16;8;2;12;B
Resolva a equação para x: 4x + 3 = 43;14;10;21;17;B
Resolva a equação para x: 9x + 20 = 56;10;0;17;4;D
Resolva a equação para x: 4x + 24 = 64;10;20;4;5;A
Resolva a equação para x: 3x + 17 = 41;5;20;8;12;C
Resolva a equação para x: 8x + 25 = 121;12;7;24;20;A
Resolva a equação para x: 3x + 16 = 52;9;12;17;0;B
Resolva a equação para x: 6x + 14 = 50;13;6;12;9;B
Resolva a equação para x: 7x + 13 = 62;21;12;7;9;C
Resolva a equação para x: 8x + 4 = 60;10;7;15;0;B
Resolva a equação para x: 4x + 25 = 57;8;17;9;3;A
Resolva a equação para x: 3x + 15 = 39;17;21;5;8;D
Resolva a equação para x: 8x + 25 = 105;1;16;13;10;D
Resolva a equação para x: 3x + 22 = 28;15;2;8;0;B
Resolva a equação para x: 3x + 14 = 44;13;10;4;3;B
Resolva a equação para x: 4x + 5 = 49;5;11;8;24;B
Resolva a equação para x: 6x + 13 = 43;11;3;13;5;D
Resolva a equação para x: 6x + 23 = 53;13;7;0;5;D
Resolva a equação para x: 6x + 25 = 73;8;4;2;12;A
Resolva a equação para x: 8x + 25 = 105;0;10;15;6;B
Resolva a equação para x: 9x + 10 = 28;2;0;10;3;A
Resolva a equação para x: 7x + 6 = 83;11;10;2;12;A
Resolva a equação para x: 7x + 2 = 30;10;17;4;0;C
Resolva a equação para x: 4x + 1 = 41;9;10;20;6;B
Resolva a equação para x: 6x + 2 = 44;18;5;6;7;D
Resolva a equação para x: 3x + 22 = 43;10;4;7;20;C
Resolva a equação para x: 2x + 13 = 35;7;9;11;0;C
Resolva a equação para x: 3x + 15 = 36;7;6;11;12;A
Resolva a equação para x: 5x + 1 = 51;8;2;4;10;D
Resolva a equação para x: 2x + 23 = 45;13;23;11;2;C
Resolva a equação para x: 3x + 10 = 43;12;5;11;17;C
Resolva a equação para x: 3x + 18 = 42;16;8;19;14;B
Resolva a equação para x: 6x + 4 = 52;17;8;22;14;B
Resolva a equação para x: 9x + 16 = 70;2;5;6;9;C
Resolva a equação para x: 5x + 20 = 75;6;11;4;5;B
Resolva a equação para x: 4x + 5 = 25;15;5;12;16;B
Resolva a equação para x: 7x + 15 = 71;4;15;8;5;C
Resolva a equação para x: 2x + 4 = 20;14;5;15;8;D
Resolva a equação para x: 9x + 19 = 109;10;17;1;11;A
Resolva a equação para x: 6x + 10 = 46;0;19;9;6;D
Resolva a equação para x: 9x + 20 = 110;10;14;9;12;A
Resolva a equação para x: 9x + 23 = 86;2;7;20;18;B
Resolva a equação para x: 2x + 6 = 18;10;20;6;0;C
Resolva a equação para x: 2x + 7 = 11;8;2;14;16;B
Resolva a equação para x: 8x + 23 = 79;3;15;16;7;D
Resolva a equação para x: 8x + 19 = 91;17;1;7;9;D
Resolva a equação para x: 4x + 21 = 61;10;16;2;22;A
Resolva a equação para x: 7x + 8 = 71;9;18;8;19;A
Resolva a equação para x: 2x + 20 = 38;9;22;3;20;A
Resolva a equação para x: 3x + 22 = 31;2;3;7;13;B
Resolva a equação para x: 2x + 10 = 32;11;8;20;22;A
Resolva a equação para x: 4x + 9 = 41;20;2;8;14;C
Resolva a equação para x: 2x + 14 = 30;9;10;8;7;C
Resolva a equação para x: 5x + 19 = 64;4;9;8;19;B
Resolva a equação para x: 5x + 15 = 70;11;25;15;9;A
Resolva a equação para x: 6x + 18 = 84;15;11;5;8;B
Resolva a equação para x: 4x + 23 = 71;12;0;22;7;A
Resolva a equação para x: 7x + 14 = 35;3;10;9;7;A
Resolva a equação para x: 2x + 16 = 32;5;0;13;8;D
Resolva a equação para x: 7x + 2 = 23;16;3;4;9;B
Resolva a equação para x: 6x + 18 = 42;4;10;17;7;A
Resolva a equação para x: 8x + 13 = 53;5;9;2;10;A
Resolva a equação para x: 6x + 4 = 22;16;11;9;3;D
Resolva a equação para x: 3x + 25 = 49;8;21;22;20;A
Resolva a equação para x: 8x + 12 = 60;20;2;6;10;C
Resolva a equação para x: 5x + 19 = 34;3;15;4;8;A
Resolva a equação para x: 5x + 12 = 52;13;8;14;5;B
Resolva a equação para x: 2x + 25 = 49;4;12;10;11;B
Resolva a equação para x: 6x + 4 = 70;18;11;7;12;B
Resolva a equação para x: 4x + 12 = 60;12;13;8;7;A
Resolva a equação para x: 6x + 11 = 23;2;12;0;15;A
Resolva a equação para x: 5x + 1 = 21;4;13;11;9;A
Resolva a equação para x: 6x + 25 = 91;14;15;11;12;C
Resolva a equação para x: 2x + 8 = 26;9;10;21;6;A
Resolva a equação para x: 7x + 15 = 43;13;2;4;0;C
Resolva a equação para x: 2x + 6 = 10;2;3;4;15;A
Resolva a equação para x: 8x + 16 = 88;7;20;9;4;C
Resolva a equação para x: 3x + 14 = 41;9;4;22;20;A
Resolva a equação para x: 4x + 5 = 33;17;7;3;0;B
Resolva a equação para x: 5x + 14 = 59;9;0;16;15;A
Resolva a equação para x: 9x + 21 = 102;2;9;14;21;B
Resolva a equação para x: 3x + 20 = 32;4;17;12;0;A
Resolva a equação para x: 3x + 3 = 36;23;11;22;15;B
Resolva a equação para x: 7x + 24 = 38;16;11;2;1;C
Resolva a equação para x: 3x + 14 = 41;7;9;12;15;B
Resolva a equação para x: 2x + 24 = 44;10;9;24;0;A
Resolva a equação para x: 4x + 11 = 23;14;3;15;10;B
Resolva a equação para x: 4x + 20 = 48;7;18;1;12;A
Resolva a equação para x: 2x + 7 = 25;8;1;19;9;D
Resolva a equação para x: 4x + 17 = 57;9;10;15;12;B
Resolva a equação para x: 9x + 16 = 34;11;10;14;2;D
Resolva a equação para x: 5x + 14 = 49;18;7;20;15;B
Resolva a equação para x: 4x + 22 = 70;14;4;26;12;D
Resolva a equação para x: 3x + 17 = 53;2;17;12;26;C
Resolva a equação para x: 7x + 7 = 91;24;10;12;23;C
Resolva a equação para x: 9x + 19 = 91;8;18;12;1;A
Resolva a equação para x: 2x + 11 = 33;15;24;16;11;D
Resolva a equação para x: 6x + 16 = 64;5;18;1;8;D
Resolva a equação para x: 8x + 25 = 105;10;23;2;4;A
Resolva a equação para x: 9x + 18 = 99;9;6;8;4;A
Resolva a equação para x: 3x + 19 = 49;4;7;10;16;C
Resolva a equação para x: 6x + 20 = 68;11;10;5;8;D
Resolva a equação para x: 5x + 18 = 58;11;17;20;8;D
Resolva a equação para x: 5x + 16 = 76;16;4;12;15;C
Resolva a equação para x: 3x + 23 = 44;1;6;10;7;D
Resolva a equação para x: 4x + 12 = 60;12;3;10;23;A
Resolva a equação para x: 6x + 8 = 74;2;11;17;12;B
Resolva a equação para x: 4x + 2 = 34;8;5;21;12;A
Resolva a equação para x: 4x + 9 = 17;1;11;2;12;C
Resolva a equação para x: 5x + 11 = 56;8;12;21;9;D
Resolva a equação para x: 9x + 5 = 68;17;1;7;20;C
Resolva a equação para x: 8x + 23 = 55;8;9;4;2;C
Resolva a equação para x: 2x + 8 = 12;6;2;9;5;B
Resolva a equação para x: 2x + 2 = 18;1;12;8;18;C
Resolva a equação para x: 4x + 3 = 31;2;7;20;14;B
Resolva a equação para x: 6x + 1 = 55;4;14;20;9;D
Resolva a equação para x: 9x + 6 = 69;7;13;10;15;A
Resolva a equação para x: 8x + 14 = 38;5;12;1;3;D
Resolva a equação para x: 7x + 18 = 74;14;2;8;1;C
Resolva a equação para x: 4x + 19 = 35;1;7;8;4;D
Resolva a equação para x: 6x + 19 = 73;9;14;17;1;A
Resolva a equação para x: 3x + 16 = 37;18;16;7;4;C
Resolva a equação para x: 3x + 14 = 26;13;17;14;4;D
Resolva a equação para x: 9x + 25 = 115;19;10;9;20;B
Resolva a equação para x: 5x + 10 = 30;10;12;5;4;D
Resolva a equação para x: 8x + 22 = 62;11;5;16;13;B
Resolva a equação para x: 4x + 18 = 58;17;10;18;1;B
Resolva a equação para x: 9x + 22 = 76;14;13;6;17;C
Resolva a equação para x: 8x + 12 = 100;8;18;11;20;C
Resolva a equação para x: 4x + 15 = 35;8;5;2;9;B
Resolva a equação para x: 3x + 14 = 32;14;6;8;11;B
Resolva a equação para x: 6x + 3 = 51;21;18;8;10;C
Resolva a equação para x: 8x + 4 = 100;10;26;15;12;D
Resolva a equação para x: 2x + 23 = 33;4;5;9;16;B
Resolva a equação para x: 5x + 13 = 63;9;6;11;10;D
Resolva a equação para x: 8x + 19 = 35;2;6;4;15;A
Resolva a equação para x: 3x + 14 = 32;8;9;16;6;D
Resolva a equação para x: 4x + 5 = 45;18;3;10;20;C
Resolva a equação para x: 8x + 8 = 80;9;19;15;0;A
Resolva a equação para x: 3x + 7 = 34;9;6;21;20;A
Resolva a equação para x: 4x + 9 = 45;6;9;18;5;B
Resolva a equação para x: 4x + 5 = 53;12;7;11;8;A
Resolva a equação para x: 9x + 12 = 120;1;8;0;12;D
Resolva a equação para x: 6x + 7 = 25;0;4;3;2;C
Resolva a equação para x: 9x + 2 = 74;8;2;19;16;A
Resolva a equação para x: 6x + 2 = 26;17;0;16;4;D
Resolva a equação para x: 2x + 13 = 25;0;3;12;6;D
Resolva a equação para x: 7x + 14 = 70;8;12;5;1;A
Resolva a equação para x: 2x + 6 = 16;8;12;14;5;D
Resolva a equação para x: 6x + 22 = 88;0;8;11;4;C
Resolva a equação para x: 9x + 2 = 74;9;15;8;21;C
Resolva a equação para x: 9x + 4 = 22;16;2;7;0;B
Resolva a equação para x: 3x + 5 = 17;17;11;4;18;C
Resolva a equação para x: 4x + 1 = 41;10;19;7;16;A
Resolva a equação para x: 9x + 1 = 19;16;7;2;1;C
Resolva a equação para x: 7x + 15 = 92;13;15;7;11;D
Resolva a equação para x: 3x + 17 = 23;1;3;5;2;D
Resolva a equação para x: 7x + 14 = 63;18;15;19;7;D
Resolva a equação para x: 3x + 15 = 39;8;15;20;12;A
Resolva a equação para x: 2x + 7 = 31;14;13;12;7;C
Resolva a equação para x: 8x + 16 = 32;2;10;6;1;A
Resolva a equação para x: 7x + 24 = 101;21;11;12;22;B
Resolva a equação para x: 6x + 16 = 34;16;9;12;3;D
Resolva a equação para x: 7x + 16 = 30;8;2;16;3;B
Resolva a equação para x: 5x + 12 = 52;16;8;0;10;B
Resolva a equação para x: 3x + 21 = 27;1;3;2;12;C
Resolva a equação para x: 4x + 4 = 28;20;14;6;18;C
Resolva a equação para x: 5x + 11 = 66;0;11;1;9;B
Resolva a equação para x: 3x + 10 = 31;7;13;17;19;A
Resolva a equação para x: 3x + 12 = 21;9;3;4;14;B
Resolva a equação para x: 5x + 20 = 35;15;3;12;6;B
Resolva a equação para x: 4x + 20 = 68;26;12;4;22;B
Resolva a equação para x: 7x + 5 = 61;8;14;9;4;A
Resolva a equação para x: 7x + 8 = 57;7;6;8;16;A
Resolva a equação para x: 5x + 8 = 28;0;4;17;6;B
Resolva a equação para x: 6x + 13 = 79;12;11;25;6;B
Resolva a equação para x: 8x + 11 = 27;11;2;4;15;B
Resolva a equação para x: 4x + 1 = 29;5;19;3;7;D
Resolva a equação para x: 4x + 17 = 37;12;10;1;5;D
Resolva a equação para x: 5x + 17 = 77;12;13;18;24;A
Resolva a equação para x: 3x + 4 = 22;20;6;14;15;B
Resolva a equação para x: 8x + 7 = 47;6;1;5;4;C
Resolva a equação para x: 6x + 16 = 82;24;20;5;11;D
Resolva a equação para x: 6x + 10 = 34;5;4;8;10;B
Resolva a equação para x: 2x + 20 = 38;3;10;22;9;D
Resolva a equação para x: 6x + 14 = 38;2;12;4;14;C
Resolva a equação para x: 7x + 2 = 51;7;15;13;5;A
Resolva a equação para x: 9x + 6 = 33;17;0;3;6;C
Resolva a equação para x: 3x + 13 = 49;14;12;26;3;B
Resolva a equação para x: 5x + 10 = 20;2;11;10;4;A
Resolva a equação para x: 2x + 9 = 21;6;5;17;10;A
Resolva a equação para x: 7x + 9 = 65;5;19;8;10;C
Resolva a equação para x: 8x + 21 = 37;4;8;2;10;C
Resolva a equação para x: 2x + 24 = 36;9;6;5;10;B
Resolva a equação para x: 4x + 25 = 37;11;14;3;1;C
Resolva a equação para x: 4x + 9 = 25;4;3;2;6;A
Resolva a equação para x: 2x + 25 = 45;18;21;10;8;C
Resolva a equação para x: 8x + 15 = 71;8;7;6;2;B
Resolva a equação para x: 5x + 22 = 52;13;6;0;3;B
Resolva a equação para x: 7x + 20 = 83;0;5;17;9;D
Resolva a equação para x: 5x + 16 = 26;13;5;2;12;C
Resolva a equação para x: 5x + 18 = 28;0;2;8;5;B
Resolva a equação para x: 8x + 7 = 63;1;14;7;13;C
Resolva a equação para x: 6x + 17 = 59;14;10;7;19;C
Resolva a equação para x: 6x + 18 = 66;9;19;8;13;C
Resolva a equação para x: 7x + 16 = 37;0;13;11;3;D
Resolva a equação para x: 9x + 1 = 55;20;15;5;6;D
Resolva a equação para x: 5x + 14 = 59;10;9;5;3;B
Resolva a equação para x: 6x + 1 = 37;6;19;12;8;A
Resolva a equação para x: 4x + 2 = 50;20;12;22;5;B
Resolva a equação para x: 9x + 1 = 46;6;5;8;10;B
Resolva a equação para x: 8x + 11 = 43;3;12;4;6;C
Resolva a equação para x: 5x + 21 = 36;3;8;11;16;A
Resolva a equação para x: 3x + 14 = 20;12;1;3;2;D
Resolva a equação para x: 8x + 24 = 64;17;0;5;3;C
Resolva a equação para x: 2x + 18 = 28;1;5;0;17;B
Resolva a equação para x: 9x + 1 = 82;18;10;5;9;D
Resolva a equação para x: 2x + 24 = 32;0;4;11;2;B
Resolva a equação para x: 8x + 15 = 103;16;13;11;5;C
Resolva a equação para x: 4x + 4 = 28;6;16;1;4;A
Quanto é 75% de 150?;126;105;100;112;D
Quanto é 25% de 200?;50;55;45;42;A
Quanto é 15% de 80?;7;15;12;25;C
Quanto é 20% de 400?;74;83;80;86;C
Quanto é 5% de 100?;11;5;17;19;B
Quanto é 20% de 120?;16;24;18;25;B
Quanto é 80% de 300?;240;254;233;242;A
Quanto é 30% de 80?;24;37;23;25;A
Quanto é 50% de 500?;254;238;235;250;D
Quanto é 10% de 120?;24;12;19;22;B
Quanto é 15% de 300?;45;40;47;35;A
Quanto é 10% de 400?;41;40;28;29;B
Quanto é 80% de 40?;32;41;26;43;A
Quanto é 30% de 60?;18;30;6;17;A
Quanto é 75% de 200?;158;148;151;150;D
Quanto é 80% de 60?;33;47;40;48;D
Quanto é 30% de 200?;52;60;53;65;B
Quanto é 30% de 400?;128;107;120;134;C
Quanto é 80% de 150?;119;130;120;126;C
Quanto é 40% de 60?;22;36;24;14;C
Quanto é 10% de 400?;40;44;29;45;A
Quanto é 20% de 120?;24;22;38;31;A
Quanto é 5% de 120?;17;6;15;18;B
Quanto é 20% de 500?;101;98;100;99;C
Quanto é 40% de 300?;120;126;123;117;A
Quanto é 15% de 150?;22;34;9;31;A
Quanto é 25% de 60?;28;10;18;15;D
Quanto é 75% de 40?;43;37;36;30;D
Quanto é 50% de 80?;40;42;32;28;A
Quanto é 50% de 60?;30;29;39;28;A
Quanto é 80% de 100?;73;82;88;80;D
Quanto é 40% de 200?;73;79;80;66;C
Quanto é 30% de 120?;48;36;32;37;B
Quanto é 50% de 100?;39;50;40;56;B
Quanto é 25% de 400?;107;100;89;114;B
Quanto é 10% de 80?;18;12;8;4;C
Quanto é 20% de 120?;27;37;23;24;D
Quanto é 30% de 300?;90;95;94;84;A
Quanto é 15% de 500?;82;75;88;68;B
Quanto é 75% de 500?;379;375;383;362;B
Quanto é 80% de 300?;230;237;240;243;C
Quanto é 15% de 400?;45;68;73;60;D
Quanto é 10% de 60?;3;20;6;2;C
Quanto é 5% de 40?;7;12;2;1;C
Quanto é 40% de 120?;48;36;55;37;A
Quanto é 20% de 60?;12;11;6;20;A
Quanto é 30% de 80?;30;18;24;25;C
Quanto é 30% de 500?;150;140;142;138;A
Quanto é 25% de 500?;123;113;125;137;C
Quanto é 20% de 150?;30;29;34;37;A
Quanto é 25% de 100?;25;39;22;28;A
Quanto é 40% de 80?;23;32;46;31;B
Quanto é 40% de 100?;40;44;48;46;A
Quanto é 30% de 300?;90;97;91;99;A
Quanto é 20% de 120?;24;35;11;26;A
Quanto é 30% de 400?;111;120;122;121;B
Quanto é 25% de 300?;65;61;72;75;D
Quanto é 30% de 100?;31;30;36;35;B
Quanto é 15% de 200?;40;30;18;16;B
Quanto é 80% de 500?;403;407;400;411;C
Quanto é 20% de 80?;9;3;16;20;C
Quanto é 40% de 200?;80;92;81;93;A
Quanto é 50% de 100?;39;46;50;60;C
Quanto é 50% de 100?;54;40;50;51;C
Quanto é 50% de 60?;20;41;30;35;C
